 	non	mangiare	la	sera	</S>
m	0.93824273	0.059414156	0.001929369	0.00032095256	9.273348e-05
i	0.0029358214	0.08121514	0.14645557	0.7649293	0.0044641527
f	0.05437815	0.9359433	0.008885573	0.00054282707	0.00025010618
a	0.0023950648	0.35408533	0.4618341	0.17814106	0.0035444763
i	0.012923695	0.81916875	0.16652885	0.000856756	0.00052199996
o	0.015216288	0.014407296	0.83930296	0.10440622	0.026667222
v	0.0019535879	0.011381299	0.4983918	0.42756316	0.06071015
r	3.3686196e-05	0.00082109135	0.067432754	0.80564445	0.126068
à	1.3275322e-05	0.0042197295	0.25736135	0.7328691	0.0055365353
i	0.00520009	0.048359033	0.76264316	0.12937185	0.054425813
</S>	0.01218142	0.0007775233	0.008977952	0.1876264	0.7904367
