 	l'	ho	sentito	che	viene	</S>
o	0.9896458	0.010189093	0.00013629539	3.8679736e-06	2.0397403e-05	4.530917e-06
n	0.2338222	0.15015556	0.5775607	0.005034625	0.032828033	0.00059887196
ì	0.2316635	0.739084	0.024587922	0.0021054894	6.8599534e-06	0.002552259
k	0.0015825236	0.03845036	0.92156196	0.028624706	0.009669654	0.000110842935
u	0.005117507	0.31391194	0.6593599	0.021396566	0.00019724612	1.6792883e-05
s	0.06029854	0.1567582	0.3475405	0.338287	0.071825705	0.025290031
a	0.0010885593	0.038075287	0.1359362	0.8114432	0.005539903	0.007916893
n	0.0047905743	0.006144178	0.058385275	0.10273453	0.7084475	0.11949797
a	0.00034675063	0.0021116696	0.01312588	0.69000494	0.11797817	0.17643256
r	0.0006854198	0.0006855202	0.0019216842	0.016661696	0.50468266	0.475363
t	3.3345008e-05	0.00023343359	0.00016457832	0.09377529	0.07994999	0.82584333
i	0.00010906912	6.744715e-05	0.0042143697	0.35804042	0.39219156	0.24537712
</S>	8.353169e-05	3.1661482e-05	0.00057257863	0.0069128764	0.026917063	0.96548223
