 	non	ti	dimentichiamo	mai	</S>
e	0.83705735	0.16147009	0.00075260905	0.00067484734	4.507694e-05
s	0.24210434	0.75169367	0.0050364053	0.0011208915	4.468523e-05
e	0.16681683	0.68451667	0.1463342	0.0022249627	0.00010735253
a	0.021324802	0.8451216	0.13221343	0.001290839	4.930401e-05
l	0.0006624795	0.124744914	0.867552	0.0068327812	0.00020787724
l	0.0030872412	0.06553822	0.9008623	0.026367519	0.0041447543
i	0.0008532275	0.071229346	0.90737	0.019787665	0.00075988943
m	0.054043327	0.011400653	0.29355463	0.5535368	0.087464586
o	0.00014391857	0.016045269	0.938968	0.040437404	0.0044054016
n	0.0030627835	0.0033569164	0.023262097	0.9509871	0.019331008
ù	0.00082646136	0.007072305	0.25585812	0.6503472	0.085895866
m	0.00018528622	0.0012768398	0.0012368405	0.99603015	0.0012708348
e	0.00077362655	0.009800503	0.0066305804	0.97869325	0.004101999
m	0.0012958518	0.0023735568	0.017679404	0.7626556	0.2159955
à	4.320664e-05	0.00097520865	0.013568044	0.96057814	0.024835363
i	0.00015310368	0.00047806042	0.0011336666	0.97198796	0.02624718
</S>	0.0010758532	0.00096890813	0.0019610382	0.030847298	0.9651469
