 	non	aveva	da	stare	</S>
e	0.75457704	0.2440946	0.0007381746	0.00054271414	4.751076e-05
n	0.7191766	0.2632169	0.015946593	0.0012859844	0.00037395596
ì	0.117776826	0.8391495	0.035323665	0.0062671443	0.0014828601
c	0.018844258	0.9131832	0.066892184	0.0009790763	0.00010123229
h	0.00026223782	0.9046758	0.08581696	0.009212098	3.285821e-05
e	1.4874035e-05	0.90196544	0.078031324	0.019931916	5.646923e-05
n	0.00093247404	0.0662234	0.8216477	0.08514339	0.026053043
a	2.354653e-05	0.011974234	0.8620417	0.12466959	0.0012909463
s	0.0016516722	0.00026509332	0.038475268	0.66868776	0.2909202
t	1.413671e-05	0.0025937965	0.19833103	0.69106585	0.10799516
a	1.9670535e-06	0.0035330353	0.15505385	0.830225	0.011186183
s	7.1077775e-05	6.589644e-05	0.014395928	0.7335726	0.25189447
ì	1.1344383e-05	0.007737618	0.17186272	0.693855	0.1265333
</S>	0.00017457217	9.964178e-05	0.006682657	0.10618164	0.88686144
