 	la	macchina	vuole	riparata	dal	meccanico	</S>
e	0.9994122	0.0005767623	9.256419e-06	1.0348714e-06	1.7598022e-07	4.6587203e-07	1.3407278e-07
m	0.729205	0.2563103	0.014091716	0.00037582836	1.1170088e-05	4.686819e-06	1.4248193e-06
à	0.8595651	0.1250209	0.012820655	0.0013697024	0.0011952346	2.6568447e-05	2.0104233e-06
k	0.08365193	0.89377165	0.022553926	2.1582333e-05	3.3890854e-07	3.4518908e-07	2.2016422e-07
i	0.095110916	0.8642366	0.03884029	0.0010775634	0.0006739535	2.5483541e-05	3.5120764e-05
n	0.10990666	0.33186626	0.5220432	0.03060541	0.004908587	0.0006055934	6.432224e-05
a	0.016453842	0.5661765	0.3991493	0.0167559	0.0008684116	0.0005709076	2.5155907e-05
t	0.0021427043	0.027374864	0.96040756	0.0098862685	0.00017476323	1.2267122e-05	1.6297694e-06
è	0.00033393892	0.016637396	0.87534153	0.10623666	0.0013792826	6.503422e-05	6.27563e-06
l	0.00040988796	0.006002124	0.9689178	0.02448732	0.00018145614	1.3907842e-06	1.08990754e-07
i	0.0025589936	0.100571424	0.8007254	0.095529094	0.0004621014	0.00012507277	2.797511e-05
s	0.12010862	0.05470769	0.27097896	0.49991548	0.051375	0.0027940527	0.00012016779
t	5.681411e-05	0.0009789229	0.18842675	0.8009576	0.00945961	0.00011906369	1.1753814e-06
i	0.00017958514	0.00024249742	0.11804645	0.5506908	0.33061826	0.00019769472	2.4723933e-05
a	0.0007167644	0.00063837407	0.13057876	0.84619194	0.02178838	8.015313e-05	5.5420437e-06
m	0.00047062588	0.0004951295	0.022168707	0.9475699	0.029157743	0.00013366483	4.3404652e-06
m	0.00014413506	0.00015418376	0.09847882	0.8420581	0.053264745	0.004018734	0.0018812207
è	0.00036424797	0.0044949744	0.011537352	0.21997468	0.7558519	0.006457226	0.0013195692
n	0.0017816368	0.008869081	0.060078405	0.84677726	0.040768154	0.04117964	0.00054581236
i	0.02689015	0.06378856	0.09126042	0.5537318	0.15789182	0.04953587	0.05690137
a	0.15523052	0.05019033	0.033780575	0.12141029	0.5398644	0.085388884	0.014134941
t	0.012059576	0.0066695306	0.004296752	0.103510894	0.61580104	0.23501681	0.022645429
t	7.6407516e-05	1.9328816e-05	0.0026515531	0.12045947	0.5404007	0.2619937	0.07439887
o	3.9529723e-06	2.4491019e-06	9.92218e-05	0.009829457	0.8750993	0.09111615	0.023849403
m	0.00024132342	8.771957e-05	0.00018854777	0.016087838	0.22172703	0.66220975	0.09945786
e	0.00011178536	4.5048622e-05	0.0006428115	0.013747592	0.1992878	0.6490851	0.13707983
k	0.00019317766	3.3473214e-05	6.848348e-05	0.00192566	0.050571084	0.83277935	0.11442872
k	0.0001987987	0.00015487688	0.00016059953	0.0011461185	0.024254434	0.853934	0.12015115
à	0.003365321	0.0046714814	0.001035036	0.004725152	0.012916149	0.41365132	0.5596355
n	0.00075391063	0.0005116584	0.00035088818	0.0008898628	0.0082253385	0.9264593	0.062809
i	0.00024212383	0.00028151242	9.902639e-05	0.001503346	0.0068139597	0.91046435	0.08059565
k	0.0008190347	0.00032061472	0.00019609947	0.00032076307	0.002401881	0.357413	0.63852865
o	5.7057143e-05	0.000115129296	3.717697e-05	0.00014984963	0.00049724925	0.8712324	0.12791121
</S>	0.0003748874	0.00010603237	7.7896904e-05	9.78581e-05	0.00023427593	0.10444621	0.8946628
