 	stavo	al	telefono	e	mia	sorella	non	la	è	sta	e	dorme	</S>
e	0.99654007	0.0033247108	0.00010301482	1.6186326e-05	7.3787364e-06	2.3560476e-06	4.845134e-06	1.1190415e-07	8.593521e-07	2.1491434e-08	2.5860457e-08	6.851009e-08	3.5355228e-07
s	0.9397897	0.057784244	0.0021056293	0.00010577459	5.0164e-05	2.2638216e-05	0.00011461658	4.8201315e-07	2.601675e-05	1.2579198e-07	9.731312e-08	1.3976212e-07	3.4360815e-07
t	0.3538757	0.6306104	0.0149061335	0.00056148256	4.50085e-05	7.2020225e-07	2.0383517e-07	1.6289748e-07	6.335305e-08	1.8991111e-08	4.6230003e-08	1.4041467e-08	1.776078e-08
è	0.08569172	0.8279038	0.08528331	0.0010641855	2.0808287e-05	8.406586e-06	2.0981191e-05	9.175138e-07	5.0765234e-06	1.3939346e-07	1.3242379e-07	5.289036e-07	3.8526604e-08
o	0.4174009	0.57599074	0.00645155	8.336851e-05	3.261117e-05	3.3858983e-06	3.533305e-05	6.836389e-08	2.006262e-06	1.1772483e-08	1.0045175e-08	2.6935766e-08	2.0852852e-08
s	0.022170965	0.8890849	0.086628735	0.0016898072	0.0003440129	1.3097502e-05	6.0918133e-05	5.990023e-07	6.486467e-06	9.019637e-08	9.047119e-08	1.6958433e-07	1.884909e-07
t	0.0033460073	0.5330437	0.41772377	0.044516508	0.0013402408	2.6162554e-05	1.6326384e-06	1.6144658e-06	1.2977725e-07	1.0839025e-07	1.0143525e-07	2.881859e-08	1.0331259e-08
o	0.0030444523	0.41196588	0.557342	0.027252844	0.00030808506	3.1939133e-05	5.0540617e-05	1.2950383e-06	2.6287064e-06	8.334141e-08	6.1390715e-08	2.1709508e-07	1.3551423e-08
t	0.003098066	0.5347445	0.43859333	0.022433672	0.00108958	6.936847e-06	3.3365715e-05	9.560741e-08	3.6066345e-07	6.6506867e-09	1.2547914e-08	2.5165196e-08	2.5795014e-08
e	0.00040123015	0.12177986	0.542098	0.29200962	0.042358756	0.0011825515	9.639051e-05	6.508315e-05	3.6987667e-06	2.1913422e-06	1.7636987e-06	7.537618e-07	1.196086e-07
l	0.000926152	0.1675709	0.7343667	0.0881871	0.007833809	0.00011775897	0.0009962344	3.1720975e-07	9.686247e-07	7.192182e-09	2.0488816e-08	4.5572317e-08	3.3191547e-08
è	0.00046040994	0.054071203	0.546416	0.35324484	0.04431475	0.001229354	0.00013697232	9.074028e-05	1.8924049e-05	6.057766e-06	5.4027173e-06	4.33264e-06	9.566559e-07
f	0.0013238598	0.021791453	0.5897729	0.330251	0.051909886	0.0013075932	0.0036197235	4.748347e-06	1.8638266e-05	6.024569e-08	4.041681e-08	4.4582304e-08	3.181587e-08
o	0.0029531396	0.04782618	0.5588677	0.36884126	0.019932505	0.0015376352	1.5434753e-05	2.1411422e-05	1.4196538e-06	7.06427e-07	9.902807e-07	4.8337506e-07	1.1043082e-06
n	0.012238699	0.0141218165	0.10898477	0.5146826	0.3057343	0.036083087	0.0073412936	0.0005351701	0.00022657037	1.1937643e-05	2.0556135e-05	1.0711474e-05	8.475114e-06
o	0.0029784068	0.0047554267	0.11169985	0.562372	0.25354767	0.061942067	0.0005841019	0.0017557659	0.00019195574	5.666703e-05	5.482194e-05	5.3352473e-05	7.931348e-06
e	0.00067110575	0.00084182626	0.01437945	0.20801878	0.6681424	0.06208739	0.04497377	0.00061819324	0.0002628246	1.356009e-06	1.2026126e-06	1.3199967e-06	3.7071223e-07
a	0.0015635276	0.00074990233	0.0060508046	0.073610485	0.82879114	0.067331776	0.01956308	0.0021101043	0.00020002315	9.575653e-06	1.5097005e-05	4.1517833e-06	3.324667e-07
d	0.0035405548	0.0033054564	0.0042893286	0.018294455	0.24340852	0.51286364	0.2024598	0.006014797	0.0057783443	1.4819318e-05	1.5537029e-05	1.3145123e-05	1.6382531e-06
r	0.0021763635	0.00081970845	0.003620706	0.02677509	0.20720547	0.59584105	0.02157784	0.1349436	0.0031528794	0.0022103537	0.00081269984	0.00065370626	0.00021055408
e	4.3632965e-05	0.00018468004	0.026041728	0.23866612	0.41884014	0.12813996	0.0019534836	0.17098066	0.010361016	0.0035615584	0.0011457803	7.70669e-05	4.1130243e-06
f	0.00018606467	0.00019143113	0.0011168534	0.014384424	0.3006987	0.40911677	0.15024981	0.0893545	0.033277977	0.00091309834	0.00046906943	3.6886177e-05	4.4271364e-06
f	0.00011411933	6.669032e-05	0.00060517725	0.009502964	0.15008739	0.4245666	0.009121166	0.3743287	0.014983532	0.013412577	0.002285811	0.00044348568	0.0004817367
