 	le	melanzane	vogliono	girate	</S>
e	0.99915934	0.00079640397	1.3671449e-05	2.8898328e-05	1.6783733e-06
m	0.8934439	0.0959816	0.009526695	0.0010372604	1.0506604e-05
a	0.80469495	0.18898217	0.0061714225	0.000116152325	3.5300487e-05
r	0.22233254	0.77582926	0.0017555333	7.966374e-05	2.9975486e-06
a	0.0070380815	0.9890892	0.0037823208	4.7899794e-05	4.2524614e-05
n	0.01622566	0.9696051	0.01397338	0.00019278281	3.1614884e-06
g	0.003640234	0.9693433	0.0254858	0.0008125079	0.0007182186
i	0.032569226	0.9322087	0.031609923	0.0034166465	0.00019547956
à	0.004090407	0.87541825	0.113468505	0.0064449674	0.00057781517
n	0.015237448	0.7297877	0.25093716	0.003923223	0.00011449657
e	0.0026417163	0.28189343	0.7128494	0.0014005653	0.0012149907
e	0.45709643	0.067021795	0.2975128	0.15379143	0.024577564
t	0.0012722465	0.0039649163	0.93743354	0.0542066	0.0031226468
è	7.63564e-05	0.01167328	0.90355563	0.04046039	0.04423426
l	0.00046019265	0.0014057568	0.94604194	0.03893778	0.01315431
u	0.00019334059	0.0009820827	0.9130517	0.07971533	0.006057541
n	0.042172946	0.006735553	0.0652718	0.4709148	0.4149049
v	0.00031599446	0.0003367716	0.37245378	0.55855817	0.06833524
o	0.011265045	0.00094054145	0.121113814	0.3822946	0.48438597
t	0.0016197299	0.00034484395	0.007578671	0.45554218	0.53491455
i	0.00015940303	7.902839e-05	0.051289506	0.3887279	0.5597442
m	0.00022635005	4.5635727e-05	0.0025792501	0.14525922	0.8518896
m	3.053066e-05	2.6959893e-05	0.0038303449	0.9547691	0.041343
è	0.0017592683	0.00024665127	0.04777882	0.42968306	0.52053225
n	0.0067627053	0.002642545	0.045160227	0.44203246	0.50340205
e	0.0017014516	0.00014902266	0.008390844	0.8492741	0.14048462
</S>	0.020994153	0.0039043773	0.0032060165	0.012119999	0.95977545
