 	lo	sentii	che	viene	</S>
t	0.999546	0.00043099397	3.8939993e-06	1.580477e-05	3.2691592e-06
o	0.99916637	0.00082133187	8.645937e-06	2.2627655e-06	1.3026477e-06
n	0.036799505	0.96220434	0.00042047238	0.00048194893	9.36688e-05
ì	0.8698398	0.12279078	0.0058242353	1.6400825e-05	0.0015288825
k	0.013144209	0.8211713	0.13306338	0.032089673	0.00053142593
u	0.003809664	0.971009	0.024957357	0.00020653271	1.7459408e-05
s	0.09502543	0.48239335	0.3556274	0.05038165	0.016572248
a	0.009449936	0.40318635	0.5782476	0.0034663188	0.005649788
n	0.009710441	0.1155447	0.2364303	0.5239516	0.11436294
a	0.0011744985	0.009320498	0.83153474	0.07200915	0.08596106
r	0.0012730219	0.0014845307	0.022993712	0.47067043	0.50357836
t	0.00018808147	4.216885e-05	0.08906478	0.0753005	0.83540446
i	0.00015245816	0.0059161037	0.35042313	0.367853	0.2756553
</S>	0.00014711771	0.00047105827	0.00693699	0.02680947	0.9656354
