 	vengono	vestiti	dai	genitori	</S>
è	0.9969208	0.0027252268	0.000115096445	0.00022285512	1.6123813e-05
r	0.97971743	0.017995836	0.0021646728	0.00012036566	1.6106628e-06
k	0.8377649	0.1614493	0.00077634613	8.993139e-06	4.4441654e-07
u	0.7074259	0.2897649	0.0025772764	0.00018411403	4.7809248e-05
t	0.84723103	0.15064994	0.002052444	5.7155976e-05	9.377422e-06
t	0.0030423882	0.99457896	0.0023571244	2.1162985e-05	3.945291e-07
e	0.0068961913	0.99068016	0.0024159406	7.3921883e-06	2.1170199e-07
n	0.026611054	0.9679234	0.0053667775	7.680907e-05	2.1927293e-05
d	0.00015050414	0.9635996	0.035756618	0.0004864393	6.8054833e-06
i	0.032884438	0.92352426	0.028974965	0.011234653	0.0033817678
m	0.008284988	0.56929344	0.2889611	0.12004767	0.013412774
è	0.00425671	0.86080295	0.11641905	0.01275514	0.0057662255
n	0.0036784457	0.24770878	0.7334261	0.015078095	0.00010848858
i	0.16658445	0.09816717	0.38516688	0.14620624	0.20387523
à	0.11855576	0.10170157	0.7119324	0.05577424	0.0120359585
t	0.021921985	0.017052379	0.77304155	0.13445698	0.05352705
t	0.00030428157	0.008353568	0.8485441	0.13880758	0.0039904267
u	0.0053978343	0.012573636	0.6763732	0.26462787	0.04102749
s	0.0049270913	0.013358042	0.18449979	0.5068652	0.29034987
g	2.3143572e-05	0.0010420926	0.3396063	0.63945043	0.01987803
e	0.00014283443	0.0016730431	0.21447131	0.6152162	0.16849658
n	0.0001707733	0.00054726127	0.003635613	0.6200751	0.37557125
i	2.031125e-05	0.0006558641	0.1304724	0.79346704	0.07538443
t	0.00062924414	0.0018793106	0.002817	0.460075	0.5345995
ò	1.0139655e-05	0.00029506607	0.03244011	0.87687886	0.0903758
r	0.00026592027	0.00029690797	0.0023310187	0.835945	0.1611612
u	1.00112275e-05	1.2651565e-05	0.00028402178	0.94792324	0.05177008
</S>	0.00023593698	0.0010149633	0.00030583542	0.0760229	0.9224204
