 	prima	di	andare	alla	scuola	</S>
p	0.99956053	0.00043448273	3.3414174e-06	2.3383481e-07	8.836885e-07	5.6336376e-07
r	0.98922706	0.00934834	0.001225977	0.00012019578	7.249608e-05	5.9342465e-06
ì	0.96403205	0.035381973	0.00056729914	3.2226158e-06	1.5198154e-05	3.5404364e-07
m	0.07377745	0.91314256	0.012600369	3.7146514e-05	0.00040148737	4.0994342e-05
a	0.019743124	0.89145696	0.087939344	0.0004422783	0.00033958064	7.871041e-05
n	0.08061924	0.5837847	0.33125335	0.0031530745	0.0004773405	0.00071235665
a	0.0071019125	0.41927746	0.54752195	0.022058189	0.0035489164	0.0004915939
p	0.0016671037	0.09657488	0.8888652	0.012312691	0.000339189	0.0002410625
à	0.00049645244	0.04050762	0.7633684	0.14370707	0.02201415	0.029906325
i	0.00017382287	0.031609677	0.95136786	0.014516778	0.0018977645	0.00043424606
s	0.06863945	0.005021372	0.07554805	0.8300706	0.00959474	0.011125817
t	0.0006396354	0.0029140152	0.4934033	0.31660885	0.15512821	0.03130607
i	0.00032880862	0.00037440503	0.058692582	0.18610725	0.62886184	0.12563509
s	0.0006125624	0.00018951207	0.04053916	0.5997139	0.2940352	0.06490968
k	8.975931e-05	0.0005591015	0.10463045	0.107332245	0.6745294	0.11285909
ò	0.0005515089	0.000105302155	0.035080943	0.15336527	0.53012615	0.2807708
l	0.00026481523	0.000102504346	0.034330502	0.11842577	0.73200274	0.11487374
a	5.3170203e-05	5.6461697e-05	0.030272236	0.7458348	0.20394559	0.019837724
</S>	0.0067035523	0.00018068186	0.00034189256	0.008068349	0.2010339	0.7836717
