 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
k	0.99916315	0.00043821085	0.00039475178	2.5899883e-06	7.466682e-07	2.2528823e-07	1.5195721e-07	3.0983398e-07
u	0.8079499	0.056421395	0.1330836	0.00097203354	0.00072599074	0.00012186132	0.0006514368	7.372684e-05
à	0.4824669	0.512981	0.0045269504	1.9441912e-05	3.3964918e-06	6.416752e-07	2.4835037e-07	1.4098214e-06
i	0.059572253	0.93966067	0.00076336804	3.0618335e-06	2.8130515e-07	6.101826e-08	5.176311e-08	1.6288972e-07
m	0.008393097	0.9826057	0.008978278	1.751409e-05	4.0129185e-06	3.837161e-07	3.86094e-07	6.432597e-07
è	0.034790475	0.41878867	0.5276112	0.016498815	0.0017952162	0.00040734315	0.000102319995	5.9353256e-06
r	0.018591767	0.76084435	0.22042085	0.00014144988	6.748933e-07	2.6929766e-07	3.285468e-07	3.221307e-07
i	0.00506911	0.8876472	0.10555462	0.0015900892	9.233979e-05	1.507348e-05	2.642198e-05	5.218156e-06
n	0.05812695	0.27145696	0.65467983	0.014461514	0.0006551692	0.0003230484	0.0002528546	4.3592445e-05
g	0.0012317984	0.05300232	0.887999	0.056265067	0.0013264013	0.00013267042	3.7988244e-05	4.7343706e-06
h	3.0937408e-05	0.0022206912	0.9894855	0.00780602	0.0004465265	8.951707e-06	3.1368995e-07	9.3739425e-07
ì	0.00033560832	0.012772822	0.9187316	0.061667863	0.0060590296	0.0003529618	7.730948e-05	2.8894626e-06
z	0.0011929069	0.07939924	0.88673586	0.03243	0.00021460182	1.7356302e-05	7.342998e-06	2.7234491e-06
i	0.0025548872	0.24505888	0.39255348	0.33887246	0.02015141	0.00054804824	0.00015115172	0.00010967642
n	0.033457678	0.054960873	0.22145566	0.63253546	0.04547541	0.0103534125	0.0016588382	0.00010268404
a	0.0017525841	0.013209872	0.037116524	0.71481675	0.22630756	0.006175895	0.00038405618	0.00023677696
v	0.0033009783	0.0060956036	0.024133626	0.60666966	0.32174385	0.037572447	0.0004445749	3.926738e-05
o	0.00010065959	0.00021779381	0.017541103	0.4873805	0.47369817	0.019679027	0.0006411507	0.0007415088
r	0.00026198232	0.002673624	0.011279594	0.5213598	0.32514912	0.13608357	0.0029727311	0.00021961203
à	6.112542e-05	5.7838228e-05	0.0027261425	0.1918006	0.6620507	0.140537	0.002309939	0.00045666512
s	0.00017867304	0.0013720774	0.0032246234	0.1581915	0.6647224	0.15767474	0.013983129	0.0006529016
o	5.4639502e-05	8.733333e-05	0.0007916375	0.033121277	0.86333656	0.10150316	0.00078059273	0.0003247859
m	0.01243956	0.0075372467	0.054964207	0.03196445	0.2552326	0.58097434	0.04961772	0.0072698635
e	3.815536e-05	3.1063482e-05	0.000162045	0.017431578	0.5971187	0.33547494	0.04075832	0.008985201
o	5.3462845e-05	6.6233595e-05	0.00019439681	0.0065407264	0.08748754	0.3509652	0.41990095	0.13479151
t	0.00064629945	0.0005586816	0.00074322097	0.0016834553	0.16076456	0.4647387	0.27522138	0.09564376
s	7.8070725e-06	2.0785144e-06	0.001397599	0.015468204	0.13103761	0.45933318	0.34432763	0.04842592
o	6.297029e-07	9.125325e-07	4.787536e-05	0.0018019696	0.15220731	0.100388594	0.7139248	0.03162792
m	1.9211411e-05	1.8756413e-05	2.0952866e-05	0.00023323564	0.008219637	0.035670202	0.13515693	0.8206612
ì	8.496822e-06	1.3766794e-06	0.0023671398	0.0037017018	0.031100236	0.3704531	0.5212068	0.07116118
</S>	3.120738e-05	3.374271e-05	4.8058275e-05	0.000530199	0.0138826715	0.10619347	0.21889563	0.660385
