 	siete	cucinato	</S>
ì	0.9974873	0.0022177855	0.00029488266
s	0.5316913	0.46574518	0.0025634216
e	0.8255276	0.17441046	6.1949264e-05
s	0.02625617	0.67477715	0.29896674
t	0.039193396	0.94927305	0.011533546
a	0.0044962685	0.74667984	0.24882385
m	0.0005428976	0.48250252	0.51695454
a	0.00069296046	0.7874649	0.21184207
r	0.00014599008	0.28068724	0.7191667
à	0.0008917494	0.56298363	0.43612465
t	0.00024222012	0.8295874	0.17017037
a	9.032172e-05	0.96572834	0.034181308
</S>	0.0019498465	0.011012279	0.9870379
