 	se	aveva	vestito	la	figlia	l'	avessi	portato	alla	chiesa	</S>
a	0.9584009	0.04025327	0.0013199614	1.8566374e-05	6.3043126e-06	1.4490567e-07	5.040557e-07	6.612579e-08	2.5376025e-08	3.9570942e-08	1.3344014e-07
n	0.82885283	0.14809108	0.019957252	0.002420787	0.0006521493	4.69633e-06	1.6249822e-05	1.9122872e-06	6.643176e-07	7.324253e-07	1.6291089e-06
ì	0.006419691	0.6417148	0.34583926	0.005303149	0.00046254488	8.8579356e-05	0.00013564025	2.5202775e-05	7.0777596e-06	3.2605e-06	7.5809294e-07
c	0.0063742446	0.9644587	0.028300792	0.00032251092	0.00054255687	6.942025e-07	4.042657e-07	3.5765627e-08	2.8730158e-08	8.507194e-09	3.417809e-08
h	0.0011582671	0.82229733	0.17136702	0.005107703	6.62047e-05	1.3742339e-06	1.6703918e-06	3.21501e-07	7.4752755e-08	2.1500476e-08	2.4142533e-08
e	0.0007159766	0.9252424	0.072859496	0.0011640759	1.7516828e-05	2.6967075e-07	8.4002984e-08	4.939637e-08	4.31374e-08	2.9333108e-08	1.3300657e-07
n	0.009263825	0.36560082	0.5820734	0.03824701	0.004743345	3.6515547e-05	2.818951e-05	6.1470837e-06	3.601517e-07	1.3030004e-07	2.611047e-07
d	0.0001070959	0.112216875	0.60804844	0.27904487	0.00053701573	2.1518234e-05	2.0199073e-05	2.0769496e-06	6.982813e-07	9.914513e-07	1.943656e-07
ì	0.0063212668	0.1803973	0.6682602	0.1384099	0.006137261	0.00034250485	6.49059e-05	4.915571e-05	7.018118e-06	5.103536e-06	5.3276385e-06
s	0.011138566	0.07797311	0.28773105	0.61711586	0.005816316	0.0001297342	7.742499e-05	1.4171649e-06	2.0651034e-06	6.72765e-06	7.725672e-06
o	0.12465579	0.021558883	0.049140885	0.737125	0.062237818	0.0030898566	0.00016915426	0.00017380294	8.235213e-05	9.969561e-05	0.0016667667
n	0.060342256	0.067755036	0.053619247	0.5794481	0.21242987	0.019416105	0.006618136	0.00018970364	0.00010682672	4.4638262e-05	3.0166104e-05
t	0.00431968	0.001539846	0.007937819	0.91249704	0.061764516	0.008745797	0.002821346	0.00024471883	5.195563e-05	5.664326e-05	2.067078e-05
a	0.00016343947	0.013755369	0.025948586	0.7873882	0.14393716	0.02807843	0.0006416159	8.155061e-05	4.03958e-06	1.1552605e-06	4.5565963e-07
i	0.0007465586	0.00065301225	0.0060473066	0.1985714	0.7784812	0.015202673	0.00028536658	1.10140345e-05	7.119164e-07	3.114062e-07	4.926154e-07
k	0.0014792361	0.000725845	0.0092318915	0.082720965	0.8357079	0.06144255	0.0082140295	0.00045252795	1.9848665e-05	4.929409e-06	2.8378315e-07
i	0.00010284944	0.000690244	0.0014533165	0.05447792	0.63931185	0.2675303	0.034979533	0.0012831946	0.00013145289	3.5023844e-05	4.2981387e-06
a	0.0020449976	0.0018081617	0.003669349	0.007419817	0.5784551	0.3849327	0.021252908	0.0003816194	2.7824142e-05	5.7503357e-06	1.8282014e-06
t	0.0009717322	0.0010912223	0.001028117	0.0029190024	0.6873166	0.29128137	0.014907271	0.00046772696	1.4057371e-05	2.372195e-06	5.858808e-07
è	5.7441084e-05	0.00019851355	0.00024452351	0.012574101	0.32949835	0.42291117	0.22744569	0.006666645	0.00034331612	4.307393e-05	1.7100194e-05
r	0.00014564002	0.00043457735	5.1956642e-05	0.00025359623	0.518221	0.32809958	0.1504347	0.0022721319	8.560355e-05	8.7448575e-07	3.6882005e-07
a	0.00012276275	0.0001421808	8.934273e-05	0.008423982	0.38323435	0.36205882	0.20919435	0.03624663	0.0004669787	1.872511e-05	1.9578051e-06
i	0.0059395623	0.034559213	0.009204499	0.0019054448	0.0943764	0.2601333	0.51816434	0.053692576	0.019956084	0.0018554045	0.00021317432
n	0.0015046406	0.002124063	0.00085123425	0.00029308503	0.020612676	0.12599115	0.49589404	0.30442864	0.046993416	0.001233207	7.3878684e-05
ì	2.4872683e-05	6.7781206e-05	3.545405e-05	0.00012880424	0.0100396015	0.15727676	0.5174351	0.29602554	0.018228833	0.0006266176	0.00011069321
c	0.00019835257	0.0008934753	0.00012112082	8.5036474e-05	0.013840536	0.041765712	0.6715838	0.2192825	0.051096734	0.0010613692	7.138146e-05
h	0.00012774063	4.8101138e-05	3.8742168e-05	8.062679e-05	0.002786284	0.013683934	0.29797092	0.6542672	0.028411346	0.0024128116	0.00017227733
a	0.00023731282	0.00018810965	4.970141e-05	5.553648e-05	0.010974024	0.0095751295	0.058397856	0.8090118	0.10835705	0.0024977406	0.00065571273
