 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.9994747	0.00036966792	0.00014919335	3.508785e-06	8.2775546e-07	1.7228591e-06	5.284263e-07
ì	0.943428	0.05627374	1.5903624e-05	0.00019609056	3.8255297e-05	4.5508816e-05	2.4255853e-06
s	0.69630075	0.2911935	0.012475563	2.7471062e-05	1.4104143e-06	6.770237e-07	6.894918e-07
i	0.078598395	0.9213246	1.2831893e-05	6.130927e-05	1.2989858e-06	9.3192244e-07	7.0398085e-07
f	0.09286501	0.75761986	0.13854116	0.009323688	0.0012791249	0.0002935929	7.750996e-05
a	0.015557176	0.9841262	4.7200203e-05	0.00025770668	8.452036e-06	3.147798e-06	1.3569462e-07
m	0.0027365107	0.93822354	0.058505468	0.00053167413	2.3765967e-06	2.2615517e-07	2.7687926e-07
ì	0.01094374	0.9739498	0.0047617317	0.0074782856	0.0011529503	0.0013464785	0.0003670843
g	0.00093893195	0.7166924	0.25274917	0.029520076	7.928273e-05	1.6193037e-05	3.8112041e-06
l	0.000949495	0.9382886	0.008495252	0.051002994	0.00075520325	0.00035213097	0.00015634122
i	0.06851621	0.89217526	0.022482177	0.014199812	0.0003173331	0.00013269698	0.002176505
a	0.09278084	0.3238302	0.34490466	0.22312	0.012083248	0.0028919026	0.00038903355
e	0.008172617	0.028174542	0.58349216	0.3555736	0.023486147	0.0009008261	0.00020011076
n	0.01795468	0.020472365	0.2898031	0.45593402	0.21345805	0.0019252003	0.0004525386
è	0.008569291	0.007378854	0.064181976	0.48242092	0.36282346	0.060162194	0.014463272
c	0.03855081	0.01304042	0.012478294	0.24953517	0.67436856	0.0114592025	0.0005675869
h	0.00023213233	0.0009876308	0.0037546617	0.13406761	0.60924596	0.24997872	0.0017333312
i	0.005690155	0.007776047	0.00027357918	0.096142	0.34082863	0.5159219	0.033367664
n	0.0075935367	0.0019247839	0.0027017037	0.012067301	0.50151604	0.32439083	0.1498058
a	2.7863474e-05	3.3300956e-05	0.000101358164	0.015913974	0.6683387	0.30796093	0.007623843
f	0.00029452096	0.00011791449	0.00059678854	0.00031280276	0.017404363	0.55174893	0.4295247
à	3.808766e-05	2.8146766e-05	1.8298078e-05	0.00090643414	0.097795844	0.8420353	0.059177864
i	6.096414e-06	5.4355323e-06	0.00012942153	0.00034286885	0.019239062	0.9690121	0.011265023
</S>	0.0068886764	0.0007862889	7.115827e-05	0.00012856009	0.0004008429	0.097787365	0.8939372
