 	se	avessi	visto	il	tempo	avessi	visto	le	nuvole	e	non	avevo	uscito	per	bagnarmi	</S>
a	0.9940117	0.0058093346	0.0001592526	1.1456393e-05	2.1733808e-06	5.2292658e-06	2.2719378e-07	8.6207386e-08	1.2791223e-07	2.3451513e-08	1.5718653e-07	8.3692385e-08	1.0045041e-07	4.6202997e-09	1.7107466e-08	7.047417e-08
n	0.6608036	0.31361508	0.024912136	0.0004272191	6.6859284e-05	0.00015361652	3.6246274e-06	1.3836059e-06	2.6154362e-06	7.82769e-07	7.770787e-06	2.394049e-06	1.3810075e-06	2.5137663e-07	4.5142286e-07	8.454458e-07
ì	0.013485737	0.883283	0.09426188	0.0057628467	0.0016894656	0.0011499397	0.00022281206	6.147431e-05	3.7559363e-05	5.6600957e-06	2.4366287e-07	1.1862277e-05	2.682826e-05	8.771821e-08	1.5925944e-07	3.3015155e-07
c	0.008491007	0.9700337	0.02122014	0.00021884221	2.4983234e-05	9.46242e-06	2.0375732e-07	2.5422804e-07	3.105583e-07	6.082661e-08	6.8227274e-07	7.622864e-08	1.0410042e-07	5.980593e-09	3.573071e-08	3.458433e-08
h	0.0019875884	0.8874202	0.10891346	0.0016012142	4.5874127e-05	2.772733e-05	2.839216e-06	2.3357704e-07	1.7148874e-07	5.2326804e-08	4.7123323e-09	6.708957e-08	6.641381e-07	1.8140203e-09	8.145718e-10	1.32633104e-08
a	0.0054675224	0.73912114	0.25380337	0.0015644254	3.6966292e-05	3.9664355e-06	1.3205e-06	2.4827366e-07	8.751013e-08	5.9252482e-08	4.921863e-08	4.318507e-08	5.2529015e-07	1.9305125e-08	2.8095917e-08	2.0736843e-07
t	0.0035453665	0.5032218	0.48189563	0.010111576	0.0009584995	0.00024096639	1.5842943e-05	2.5506156e-06	4.1860803e-06	3.6941765e-07	1.059635e-06	5.987783e-07	1.5151207e-06	1.26869715e-08	5.2920388e-08	3.6198873e-08
o	7.5594203e-06	0.1417524	0.73124593	0.12171253	0.00506784	0.00019012568	1.7046616e-05	2.6244572e-06	2.1980818e-06	2.4653846e-07	6.547922e-09	4.493297e-07	8.928015e-07	1.0942008e-09	4.1321733e-09	1.2210162e-09
r	0.0007072163	0.25819543	0.5216684	0.19979273	0.018454894	0.0011760502	1.645131e-06	8.318327e-07	1.4275722e-06	7.107212e-08	1.0632486e-06	9.478412e-08	3.595521e-08	1.644686e-09	3.434268e-08	1.0109963e-07
ì	3.9366627e-05	0.09826006	0.34288675	0.4097857	0.14199762	0.006572014	0.00027304082	7.56939e-05	5.2781663e-05	1.1887947e-05	3.7222304e-07	2.9007537e-05	1.5477062e-05	1.3504831e-07	1.3352856e-07	1.4673138e-08
s	0.00048112634	0.20499474	0.2583612	0.37623575	0.13380262	0.026109947	8.7749095e-06	3.3263898e-06	1.5100838e-06	1.0124402e-07	6.2503756e-07	9.783649e-08	2.8384283e-08	2.996284e-09	2.8395059e-08	3.4509213e-08
