 	mio	fratello	non	mi	ha	mai	scritto	una	lettera	</S>
a	0.97486943	0.023930186	0.0010076045	0.00018949552	5.0037977e-07	9.2908743e-07	1.1226761e-07	1.1253603e-07	1.5117816e-06	2.458505e-07
d	0.64430964	0.34402412	0.0069234604	0.0043479702	9.0519716e-05	0.00028490153	8.694124e-06	2.599414e-06	7.652237e-06	4.1171873e-07
r	0.9034084	0.09535786	8.611451e-05	7.848562e-06	0.0009573856	0.0001389397	7.4279997e-06	1.4313161e-05	5.978677e-06	1.5618498e-05
e	0.7314384	0.22380029	0.014288502	0.02918935	0.001116771	0.00013549133	6.810122e-06	2.150364e-06	2.083033e-05	1.4262246e-06
f	0.335979	0.5843966	0.058574796	0.020842483	0.00018412166	1.9382012e-05	1.4522099e-06	6.2153947e-07	1.0054465e-06	6.221301e-07
f	0.09927423	0.82577777	0.012057868	0.001943035	0.05938672	0.0010416383	7.989846e-05	0.00012764707	5.4712735e-05	0.00025657789
ò	0.813605	0.09953996	0.028477743	0.04500498	0.011932879	0.0008660932	0.00010418995	9.678683e-05	0.00033298807	3.935965e-05
m	0.0058967816	0.43296096	0.21147619	0.349083	0.00049156556	8.2760154e-05	1.3017268e-06	1.0744589e-06	4.663784e-06	1.7876089e-06
m	0.44909295	0.43251497	0.080163494	0.01705349	0.015312125	0.0056483177	4.403978e-05	4.7142785e-05	1.9922314e-05	0.000103517035
u	0.97931576	0.0042246785	0.0069085727	0.00663788	0.002585879	0.00015939702	5.5296092e-05	7.906901e-06	2.6819585e-05	7.794765e-05
e	0.016716039	0.048761014	0.5754003	0.31596246	0.02840487	0.013498064	0.0005087736	0.00027648066	0.00041877327	5.3314823e-05
m	0.023042543	0.011862902	0.4030894	0.20879021	0.23418438	0.1185344	0.00033116224	0.00011575823	3.608304e-05	1.31699535e-05
o	0.025889205	0.012229474	0.039299473	0.022061506	0.73427707	0.11305341	0.034503356	0.004128743	0.0051389257	0.009418849
m	0.00074511295	0.008610581	0.040779248	0.014953544	0.1392938	0.77683663	0.01668455	0.0019440027	0.00013270481	1.980592e-05
a	0.061255086	0.0040576314	0.021604035	0.010116496	0.32342732	0.42753562	0.12112411	0.010320897	0.005202902	0.0153558375
i	0.00047531395	0.0018682075	0.013711697	0.0048790094	0.044343214	0.88780403	0.037355814	0.008879023	0.000638044	4.5643996e-05
g	0.14057565	0.005437462	0.06307552	0.01017111	0.0059786025	0.5614177	0.07119555	0.13772178	0.0021383865	0.0022883064
r	0.0036517004	0.00017227307	0.009934689	0.008774389	0.093857065	0.4657608	0.23775329	0.1232036	0.055186618	0.0017055726
a	0.01173215	3.5954254e-05	0.00064550067	0.0015259493	0.048206516	0.106466584	0.26242983	0.19086124	0.29785362	0.08024274
m	0.008543948	0.00017917837	0.0041491115	0.0038912208	0.0061875586	0.361349	0.2247899	0.32567605	0.058917306	0.006316731
m	0.00042555993	2.9707144e-05	0.00027205655	0.00040930655	0.0053558806	0.04137301	0.38057306	0.32007146	0.15438226	0.09710765
è	0.006919728	0.000101588455	0.00046861183	0.00034563566	0.005309807	0.006755277	0.08174053	0.7613401	0.06518378	0.071834944
n	7.6174656e-05	3.3814453e-05	0.001120299	0.0011588444	0.0003947627	0.0036730564	0.13293518	0.6522944	0.20713362	0.001179823
a	0.009700135	0.00013184748	0.00038582686	0.0005307076	0.0008816669	0.003641952	0.079419866	0.67640156	0.13057137	0.09833511
a	0.033134893	0.0022249524	0.00087166665	0.00031889274	0.0017191353	0.0036441956	0.0016331084	0.18806906	0.2760283	0.49235576
n	0.0067022014	0.00014371055	5.6925062e-05	1.4549257e-05	6.311441e-05	0.0003237573	0.0009878499	0.08805317	0.04637446	0.85728025
g	0.00028885435	1.469581e-05	2.176199e-06	6.9363696e-06	5.234212e-05	0.0002879165	0.0033789165	0.30215338	0.45198736	0.24182737
r	0.0043182536	1.5446161e-06	5.875446e-07	2.0261002e-06	2.787848e-05	9.123183e-05	0.0010187124	0.105008565	0.08179814	0.80773306
à	0.00045769793	3.0077738e-06	1.7535041e-06	3.4562097e-06	0.00018954603	0.000918551	0.0031342416	0.49975872	0.047065325	0.4484677
m	0.00024119263	2.0720092e-05	1.1158959e-05	6.3951325e-06	1.7083117e-05	4.9130664e-05	0.00039991527	0.21758917	0.39217407	0.38949117
m	0.00012017222	1.700966e-06	6.8705646e-07	3.3684587e-06	4.544738e-06	2.5063377e-05	0.00049532414	0.11285105	0.8212199	0.06527818
a	0.0067905737	8.696327e-06	4.3874775e-07	8.581126e-07	3.0884807e-05	9.299577e-06	5.152205e-05	0.0717815	0.10427765	0.81704855
</S>	0.00046296488	1.6568754e-05	1.0922741e-05	5.573095e-06	1.1613787e-05	8.832709e-06	4.121653e-05	0.0052281665	0.0347909	0.95942324
