 	se	vieni	ogni	giorno	a	casa	mia	compra	il	pane	</S>
a	0.9959806	0.003950253	4.851337e-05	1.7587143e-05	9.125547e-07	9.112154e-07	3.383299e-07	6.184802e-07	2.0296115e-08	4.9020695e-08	1.9081034e-07
n	0.81729937	0.10671194	0.054530106	0.021150969	0.00016348144	5.8621576e-05	1.6701159e-05	6.48113e-05	9.721463e-07	1.1048297e-06	1.9191914e-06
è	0.031677727	0.942974	0.01910301	0.0017369775	0.0010133353	0.003149692	0.00022367614	1.5725376e-05	3.4073004e-05	6.512942e-05	6.7375845e-06
r	0.0064826338	0.9475471	0.038194515	0.007702809	4.9572565e-05	1.7665901e-05	1.7898049e-06	3.90075e-06	4.044145e-08	2.2917224e-08	7.866794e-08
k	0.010456869	0.92942816	0.058788236	0.0012338341	3.8098136e-05	5.3104788e-05	8.8329426e-07	1.6897386e-07	5.1411586e-08	4.1474092e-07	8.3142616e-08
e	0.0047148755	0.9509204	0.041103095	0.0019906235	0.0010723696	0.00013935377	1.0196696e-05	3.1807704e-05	1.5388646e-06	2.8439122e-06	1.293051e-05
s	0.007362843	0.22144829	0.7332421	0.036241934	0.0005951366	0.001041456	4.0581228e-05	2.6197162e-05	8.833383e-07	2.1020179e-07	2.9181402e-07
e	2.9587274e-05	0.58743036	0.3869666	0.019091042	0.006225631	0.00023280163	2.149853e-05	1.197373e-06	3.3666788e-07	1.0378321e-06	3.3459294e-08
k	0.00039035166	0.003601535	0.8223192	0.17317657	0.00040231858	0.00010064566	7.1521313e-06	2.0866617e-06	3.8926093e-08	2.3524237e-08	1.1355618e-07
a	8.412342e-05	0.16236547	0.686602	0.08179734	0.06617641	0.002687708	0.00024759758	2.885385e-05	4.244885e-06	3.8780413e-06	2.3258808e-06
i	0.00038465695	0.00033250652	0.43279958	0.55342156	0.011765699	0.0011800645	9.459464e-05	2.0781688e-05	8.625718e-08	1.266824e-07	3.083849e-07
m	0.0006712599	0.00043473317	0.02158799	0.96063954	0.0154326465	0.00087491743	0.0003453872	1.0725597e-05	1.3376199e-06	1.1290689e-06	2.3923587e-07
è	0.0048289965	0.017710136	0.07029288	0.07301159	0.5432137	0.23731363	0.05119679	0.000987608	0.00096139236	0.000373427	0.0001099207
r	0.00059158436	0.0030869865	0.19973078	0.5070461	0.19252974	0.09010461	0.0063583213	0.0005496778	9.326991e-07	8.063313e-07	3.8263076e-07
i	0.0021093665	0.04073197	0.036372397	0.29621908	0.50676894	0.07838006	0.037248194	0.0020628497	6.106798e-05	3.7869544e-05	8.149591e-06
