 	non	sapeva	dove	a	stare	</S>
e	0.71941787	0.27921486	0.0011000523	4.9361322e-05	0.00020049457	1.733615e-05
n	0.53717285	0.42810395	0.033083245	0.0013087409	0.00025301054	7.8239835e-05
ì	0.07377039	0.8716832	0.048218194	0.0025509296	0.003479715	0.00029760384
s	0.017878067	0.9046943	0.075030975	0.0023201853	6.6196924e-05	1.0247525e-05
s	0.0007245016	0.9159193	0.06465248	0.017613905	0.0010863058	3.5824098e-06
e	0.0003782523	0.7173896	0.20439754	0.071119785	0.006491581	0.00022321579
r	0.005818059	0.0431634	0.9019088	0.040746998	0.0064664925	0.0018962004
e	8.805544e-05	0.043278474	0.20839128	0.66511434	0.08173446	0.0013933114
p	0.0055515403	0.006061628	0.43126643	0.18377848	0.3142859	0.059056025
u	4.7357327e-05	0.0052410937	0.0789319	0.4328534	0.27957273	0.20335354
n	0.00092023873	0.00091654004	0.020021824	0.02699488	0.5360725	0.415074
a	0.00014339466	0.001064547	0.017576389	0.16167863	0.6092373	0.21029975
s	0.00051976985	0.00048696023	0.0011225322	0.0057190587	0.5594009	0.4327508
t	2.8905077e-05	0.0010696538	0.0062165265	0.09463056	0.39494696	0.50310737
a	1.1104639e-06	5.0715516e-05	0.008352179	0.02467138	0.9477727	0.019151924
s	9.590784e-05	1.4365302e-05	0.000476998	0.003725504	0.6816306	0.31405658
ì	6.6273283e-06	0.0008958198	0.01088224	0.2958871	0.57028896	0.12203924
</S>	0.00021620501	6.75921e-05	6.8953574e-05	0.0022196905	0.11962794	0.87779963
