 	se	vieni	a	casa	ogni	sabato	</S>
a	0.9963237	0.0035696398	6.702755e-05	2.6912321e-05	7.517744e-06	3.970393e-06	1.3589975e-06
n	0.80292153	0.15883912	0.02957033	0.006501016	0.0020994705	6.226119e-05	6.4008154e-06
è	0.038587138	0.8993152	0.02586858	0.027391935	0.0048591834	0.0036701413	0.00030787225
r	0.0071853832	0.962635	0.025411442	0.004534049	0.00023218324	1.4639465e-06	5.1053377e-07
t	0.012201871	0.76159984	0.20673752	0.019236537	0.00019881118	2.508215e-05	3.9615523e-07
i	0.013314358	0.8522977	0.09040402	0.04311261	0.0005662032	0.00024653558	5.8638812e-05
è	0.032242008	0.31786945	0.44372016	0.194549	0.011339074	0.00020022209	7.993843e-05
s	0.0021643627	0.07505941	0.8173663	0.10159243	0.0037682394	4.8048e-05	1.3044232e-06
s	0.0012536984	0.36692864	0.46788108	0.1409665	0.021189721	0.0017527904	2.7437869e-05
u	0.0053715054	0.064121805	0.037458494	0.87941134	0.011938603	0.00112744	0.00057072897
k	0.023066886	0.014992048	0.22612764	0.3386123	0.39120007	0.004644738	0.0013563052
u	2.224314e-05	0.0036227936	0.049920347	0.3655988	0.56666327	0.014114156	5.8394107e-05
à	0.0066788993	0.0011194148	0.013216769	0.048038572	0.8939887	0.03158824	0.0053693955
i	0.0052608023	0.0012123975	0.011908619	0.037619345	0.7925747	0.147375	0.0040491675
s	0.009386926	0.0055182055	0.0011391909	0.008114479	0.74289465	0.19683434	0.036112186
à	1.1294847e-05	4.474882e-05	0.0005457593	0.011781585	0.14362809	0.82650363	0.017484872
m	0.0005867987	0.00033153177	0.0011495367	0.00084659574	0.12411197	0.74011093	0.13286267
b	1.0150282e-05	8.213626e-06	2.08573e-05	0.0002477143	0.008744949	0.98806095	0.0029072245
a	8.5887375e-05	4.7407273e-05	5.105862e-05	0.0002034724	0.00064452464	0.9807076	0.018260121
</S>	0.00048970897	0.0010304882	9.4436866e-05	8.462449e-05	0.001040181	0.15182947	0.8454311
