 	voglio	che	Maria	venga	domani	</S>
i	0.99252725	0.007220369	0.00015842625	3.417537e-05	4.775664e-05	1.1920058e-05
t	0.9364878	0.049281783	0.01283217	0.0010578865	0.0003313567	9.0295525e-06
è	0.8340016	0.16150846	0.0041236216	3.4594468e-05	0.00027805511	5.368761e-05
l	0.9310249	0.065360725	0.0034291542	0.0001524918	3.170061e-05	1.0064656e-06
o	0.7777115	0.2041177	0.017999189	6.204561e-05	0.00010542021	4.213086e-06
i	0.18526758	0.5510275	0.2413853	0.02095458	0.0007398882	0.00062509265
M	0.011121778	0.23097998	0.7558962	0.0013933951	0.0005901239	1.8522105e-05
a	0.0010833071	0.07301836	0.3304655	0.0057154037	0.54263747	0.047079988
r	0.0015071288	0.042924404	0.8717998	0.079699025	0.0018842559	0.0021852907
ì	0.0014931937	0.022034736	0.65193564	0.02508327	0.24676982	0.05268332
a	0.00090365316	0.005864175	0.75869906	0.21615376	0.015265444	0.0031138728
n	0.03604101	0.008622951	0.13608858	0.6071678	0.08505995	0.12701975
a	8.3150015e-05	0.00072345923	0.045718953	0.023756985	0.8824825	0.04723496
r	0.00068297854	0.004482471	0.18000275	0.5648815	0.044999704	0.20495063
t	0.00010685154	0.00014085585	0.0146484515	0.046243075	0.61295056	0.3259102
i	1.7831282e-05	0.00037984148	0.018574724	0.016914446	0.9508762	0.013236971
à	0.00021707545	0.00032240505	0.011521504	0.15251109	0.1601974	0.6752305
v	0.0013270404	0.0003339332	0.02616608	0.15724608	0.7313773	0.08354949
v	4.4568107e-05	2.4188615e-05	0.00082448847	0.068142146	0.9150139	0.015950732
r	0.00976321	0.00031138104	0.0003332097	0.018493706	0.44004852	0.53104997
i	0.00037176593	0.00010886363	0.0007605239	0.04664631	0.79592276	0.15618978
</S>	0.0009248205	6.814966e-05	3.714212e-05	0.021674087	0.019079482	0.9582163
