 	le	melanzane	devono	girarsi	dopo	le	cucini	</S>
e	0.99904436	0.00094463525	9.050414e-06	8.6622e-07	6.751283e-07	2.480802e-08	2.9203116e-07	9.9362865e-08
m	0.7773676	0.21952747	0.002927522	0.00013614033	3.858074e-05	8.078495e-07	1.3864749e-06	5.24676e-07
a	0.547629	0.45073158	0.00083631393	0.0006518197	0.00014735387	1.8556531e-06	1.6400978e-06	4.6218835e-07
r	0.08984474	0.90950114	0.0006526402	1.2245223e-06	2.1168391e-07	4.807528e-09	2.2566248e-08	2.9751618e-08
a	0.010974473	0.9865155	0.0017626275	0.00050357817	0.00023216223	8.490158e-06	2.697388e-06	4.972992e-07
n	0.004443884	0.98761356	0.007933257	8.496754e-06	8.014681e-07	1.44546854e-08	4.389311e-08	3.0384157e-08
g	0.008589307	0.97290444	0.012510939	0.0036318584	0.0021931536	9.9093195e-05	6.0832073e-05	1.0402992e-05
i	0.040746305	0.9449244	0.0140134655	0.00029637435	9.409617e-06	9.876708e-07	8.531955e-06	4.7616606e-07
à	0.0016692128	0.9516687	0.046185333	0.00044927045	2.4246483e-05	5.5741884e-07	2.3459888e-06	3.4427137e-07
n	0.0044991816	0.41221163	0.5806648	0.0025439172	7.36618e-05	2.207993e-06	3.6320907e-06	9.443608e-07
e	0.0033541464	0.0990704	0.8946293	0.002778657	0.00013123537	1.841403e-05	6.9880443e-06	1.08344375e-05
è	0.061917584	0.04845119	0.7402525	0.1385314	0.009758738	0.00036305422	0.0006918536	3.3772747e-05
n	0.0041441442	0.009537215	0.95926803	0.026756452	0.00025579162	7.2764146e-06	2.2870121e-05	8.1416165e-06
e	0.0038323374	0.005116378	0.9821414	0.008459884	0.00028005856	6.0703787e-05	4.6074107e-05	6.305523e-05
s	0.038320586	0.015451645	0.08663385	0.8296817	0.02827349	0.0007104241	0.0009018197	2.6370684e-05
e	0.00010408571	0.0018041768	0.1171418	0.849574	0.03119921	0.00015021984	2.6072104e-05	3.9362743e-07
g	0.0016633853	0.00070861605	0.014931514	0.96537316	0.017181758	0.00011008768	3.0108584e-05	1.3644121e-06
i	3.4082976e-05	0.00065120816	0.064751975	0.8494689	0.08405757	0.0008622418	0.00017214978	1.8637774e-06
r	0.0008182176	0.0003001651	0.0034537294	0.9090167	0.08585341	0.0005224847	3.32621e-05	1.9054031e-06
è	4.2404536e-05	0.00030701488	0.04057984	0.67653525	0.27276006	0.0090332655	0.0005927503	0.00014936322
t	5.5813063e-05	8.257861e-05	0.007399945	0.63841695	0.34740397	0.006381119	0.00025478355	4.821154e-06
s	0.0003310923	0.00019574384	0.043285616	0.4224379	0.49463838	0.038196616	0.00088546437	2.912133e-05
i	0.02596839	0.0020902725	0.0052514425	0.42263544	0.5060764	0.029579947	0.0072988714	0.0010992761
d	0.008908099	0.001877517	0.0030796195	0.18349631	0.6435757	0.13836525	0.018424233	0.0022732564
ò	2.4794008e-05	1.7298182e-05	0.0010815392	0.12248434	0.43690988	0.41313836	0.025425605	0.00091820117
p	6.7949746e-05	3.736625e-05	0.0009878331	0.032468714	0.5547971	0.21244831	0.1984327	0.0007600303
u	0.001710278	0.0002172372	0.0005628034	0.011541453	0.24947102	0.41893205	0.30635226	0.011212806
e	0.012721055	0.0024346728	0.0017298257	0.0103375	0.09265318	0.58764124	0.21320873	0.07927378
m	0.0018132607	0.00019492827	9.6715994e-05	0.0005743484	0.01300621	0.4503343	0.3506629	0.18331738
a	0.00015889326	6.991527e-05	2.7796717e-05	0.0010305514	0.050677963	0.37598813	0.47211632	0.09993039
r	6.124446e-05	2.0014415e-05	2.2140695e-05	0.00020477628	0.0036544574	0.07742281	0.76089245	0.15772216
è	1.9760717e-05	7.2142684e-06	2.3750213e-06	7.840853e-05	0.0042163837	0.12500437	0.7431873	0.1274842
i	9.40806e-05	2.8320248e-05	2.6931391e-05	0.00013469254	0.00228835	0.039332256	0.9068965	0.051198985
</S>	0.00069705996	6.838909e-05	3.4559613e-05	3.129224e-05	7.62667e-05	0.000598946	0.16486096	0.8336326
