 	che	non	li	aspettiamo	</S>
n	0.9055003	0.09426732	0.00014639538	7.9133686e-05	6.890505e-06
a	0.87998515	0.010521517	0.108361065	0.00050658407	0.0006257653
m	0.06267118	0.918658	0.016277228	0.0023018855	9.1786096e-05
i	0.04392552	0.1788416	0.7297248	0.0004568742	0.047051243
t	0.014336249	0.032371093	0.85444736	0.09204445	0.0068008467
u	0.0027414607	0.029199956	0.8692658	0.010646953	0.088145845
s	0.00579987	0.067551546	0.51088214	0.23710467	0.17866178
m	0.0007630164	0.5265055	0.058997225	0.1656083	0.24812599
ì	0.0008949034	0.0030051074	0.9246334	0.03936582	0.03210084
n	0.0018368587	0.036851306	0.25260615	0.69728875	0.011416992
o	0.0005985764	0.0075280233	0.82810163	0.11494853	0.048823226
m	0.004546249	0.011804246	0.013877469	0.6470927	0.32267937
e	0.00013028827	0.0018496034	0.062907204	0.81385505	0.12125786
</S>	1.4977648e-05	0.0003578775	0.0004246341	0.0322727	0.9669298
