 	deve	essere	bianco	</S>
è	0.99934477	0.0005884724	4.3284108e-05	2.3498602e-05
n	0.53553796	0.4525319	0.011531607	0.00039848292
a	0.9461095	0.038744897	0.015078496	6.7060224e-05
è	0.0314289	0.83799934	0.12650992	0.004061837
n	0.0011569998	0.9743739	0.023751307	0.0007178637
e	0.0011033682	0.9670058	0.028355982	0.003534811
à	0.025334843	0.15853782	0.5714629	0.2446644
s	0.0003365936	0.04246232	0.50215715	0.45504388
p	1.0556876e-05	0.054736402	0.91945034	0.02580271
r	1.1320983e-06	0.00012277203	0.90824944	0.09162677
o	4.4222026e-07	0.0006864082	0.9910212	0.008291877
</S>	5.4418055e-05	0.00048682993	0.10070391	0.89875484
