 	sembra	che	il	ladro	è	entrato	da	qui	</S>
i	0.9967296	0.0030231979	0.00014257719	6.2927604e-05	3.4963745e-05	2.5528418e-06	1.001145e-06	9.3477837e-07	2.2870872e-06
f	0.93974054	0.046008285	0.0043243007	0.004872978	0.0049761976	5.397072e-05	1.8592964e-05	2.144549e-06	3.0056294e-06
è	0.92985666	0.056187406	0.012313137	0.0012989044	2.5537083e-05	0.00019824608	2.3181063e-05	9.3679926e-05	3.2500557e-06
n	0.7774596	0.20974429	0.011634367	0.00078719994	0.00037391158	2.1527384e-07	1.247511e-07	9.0755584e-08	3.2160494e-07
e	0.84513915	0.13179722	0.021958191	0.0008760075	1.4361288e-05	5.3235704e-05	7.6041406e-06	0.0001473974	6.736144e-06
t	0.08570015	0.6030537	0.2503372	0.02624567	0.034515128	3.2554213e-05	3.8179773e-05	3.5243298e-05	4.2194228e-05
e	0.024986578	0.511904	0.4134884	0.04951534	3.3662305e-05	6.811922e-05	2.5582967e-06	1.3846023e-06	1.8869617e-08
k	0.0183214	0.32751775	0.60378575	0.04746331	0.0028865517	2.1949236e-05	1.3475305e-06	6.0587195e-07	1.3270566e-06
a	0.005727278	0.4048088	0.39995605	0.18470663	0.0034335642	0.0012109672	0.00010818304	4.4248765e-05	4.2155534e-06
o	0.0038746763	0.1212612	0.5441009	0.25378624	0.07685007	0.00011662086	6.112483e-06	1.9208485e-06	2.244813e-06
l	0.005785437	0.015084352	0.26627204	0.68425643	0.02605676	0.0024659012	4.4883785e-05	2.9161683e-05	5.086981e-06
à	0.0010063082	0.037369996	0.1776627	0.63266474	0.019736826	0.12438782	0.0048817536	0.0020104412	0.00027941988
d	0.001048664	0.013410469	0.07282441	0.49754283	0.41373092	0.0011828693	0.00025005738	8.2100705e-06	1.5307589e-06
r	0.0033948487	0.022601578	0.071322076	0.59040093	0.042257857	0.26433587	0.0052609835	0.00028759288	0.00013831662
o	0.0018675987	0.012762805	0.31539366	0.08009063	0.006895995	0.57144463	0.010943024	0.00047649725	0.00012523848
m	0.011958632	0.009041024	0.1609027	0.40104267	0.28799072	0.104318	0.012122529	0.010837595	0.0017861228
b	6.102643e-05	0.00072842283	0.0068867435	0.09682848	0.017539252	0.76597387	0.108054295	0.0035392118	0.0003887084
ì	3.6211146e-05	0.00090142863	0.0061526787	0.001806767	0.00071968813	0.88621986	0.09825574	0.0057244413	0.00018319504
k	0.00020830946	0.013249608	0.015275176	0.03304897	0.77014774	0.07487575	0.090671316	0.0021794415	0.00034364194
e	0.00676234	0.002885466	0.00865032	0.007066318	0.0058708456	0.81612235	0.1081189	0.01536579	0.029157601
a	0.06882565	0.04273511	0.11853365	0.047627248	0.076936126	0.01168656	0.22377244	0.31887576	0.091007516
p	0.00816931	0.001091984	0.0031566627	0.0033720878	0.0149978725	0.031543057	0.23226005	0.45962805	0.24578092
ò	5.6889498e-05	2.731408e-05	0.00013458575	0.00337626	0.0051520225	0.04502655	0.5450055	0.22106819	0.18015274
t	5.291886e-05	4.2598127e-05	0.0002206463	0.00043725566	0.0008348812	0.00014022725	0.032734323	0.9479767	0.01756044
t	4.959101e-05	3.1945314e-05	0.00015631232	0.0002126186	0.00060744537	0.02862963	0.3302554	0.55736	0.08269711
u	0.00012679207	2.6894066e-05	0.00042174704	1.3479921e-05	3.4676136e-06	0.0010501989	0.008134707	0.91470575	0.07551693
</S>	8.4289124e-05	2.5413856e-05	9.206856e-05	8.077634e-06	9.487466e-06	4.0175542e-05	0.00025314692	0.168288	0.8311993
