 	lo	posso	finire	di	fare	</S>
t	0.99821377	0.0017616972	1.7932263e-05	7.251314e-07	5.607024e-06	2.2153527e-07
o	0.95044655	0.049346313	0.00020271781	2.9742253e-06	1.4441969e-06	1.7992596e-08
s	0.073541135	0.925168	0.0011662828	5.2595264e-05	7.073256e-05	1.3016297e-06
ò	0.03450083	0.9541401	0.011180529	0.00016671472	4.2880747e-06	7.477837e-06
z	0.005623078	0.98787445	0.0064679706	2.299216e-05	1.114478e-05	3.5182546e-07
o	0.06800966	0.81407666	0.117670976	0.00022280386	1.838672e-05	1.5989192e-06
s	0.12407928	0.28254896	0.55124193	0.034772467	0.00704451	0.00031287392
p	0.002853124	0.43302166	0.42218632	0.14150737	0.00042218567	9.42724e-06
i	0.0014534717	0.29332417	0.70274484	0.002361071	0.0001085002	7.994349e-06
c	0.0050020902	0.051058948	0.8317179	0.11160566	0.00057472795	4.0679293e-05
c	0.00018342123	0.03127396	0.078125246	0.8409338	0.02083126	0.028652303
è	0.0017341423	0.07288201	0.85427105	0.06919097	0.0013587037	0.0005630929
t	0.0017962607	0.008366165	0.024174051	0.91420484	0.05114646	0.00031229426
s	0.009882975	0.039595667	0.08146565	0.8617245	0.0050070155	0.002324201
i	0.019129729	0.28544685	0.3356647	0.33524945	0.0228947	0.001614572
t	0.09005666	0.042119537	0.13825992	0.6521168	0.050981402	0.02646572
s	5.941432e-05	0.000783276	0.008998398	0.81445384	0.16147476	0.014230332
è	0.00021238357	0.0016377429	0.06467433	0.4164917	0.3895785	0.1274053
k	0.00066553254	0.0006080891	0.0009043675	0.24055287	0.6941901	0.06307912
à	0.00034485795	0.0004812431	0.0003533703	0.85510045	0.109720916	0.033999227
m	0.08411859	0.04539312	0.010770128	0.052184463	0.40001184	0.40752187
i	0.00017371833	0.00039568948	2.880134e-05	0.07861559	0.81042266	0.110363625
</S>	0.004235716	0.0018539395	0.00709932	0.0005731148	0.0770434	0.9091945
