 	non	ci	dimentichiamo	mai	</S>
e	0.9784904	0.02065586	0.00029628127	0.0005233559	3.410799e-05
n	0.6681448	0.328259	0.002642971	0.0009162675	3.6838228e-05
è	0.8172813	0.15154316	0.027605848	0.0032443171	0.0003252987
n	0.023002198	0.9731082	0.0034942636	0.0003859293	9.377295e-06
a	0.05896682	0.7281163	0.2063122	0.0065661618	3.8500726e-05
a	0.033201203	0.9083251	0.036163613	0.021070164	0.0012400296
l	0.0052688643	0.33993313	0.6102657	0.04321404	0.0013182843
l	0.0009521211	0.027340923	0.75229394	0.19348589	0.025927162
i	0.0091528045	0.16621144	0.7580557	0.025508173	0.04107189
m	0.040675797	0.15937738	0.09790572	0.41811627	0.2839248
o	0.00040857366	0.0114501845	0.89984334	0.0781595	0.010138381
n	0.00046545916	0.0059574456	0.004978942	0.9288389	0.059759334
i	0.0012131145	0.0064740456	0.118835025	0.65720975	0.21626806
s	0.00033897057	0.0037614831	0.005180024	0.5293853	0.46133423
t	1.7845632e-05	0.00037553295	0.06096964	0.77827156	0.16036545
ù	4.2824136e-06	0.00093026244	0.051014494	0.7338053	0.21424572
m	4.2166714e-05	0.0003901028	0.0016532855	0.86502093	0.13289344
e	5.6146705e-06	5.1022234e-05	0.0015002757	0.9921927	0.0062504457
s	0.0003586937	0.0007366058	0.0029885513	0.18306617	0.81284994
t	5.2239143e-06	3.841955e-05	0.003550118	0.96209455	0.034311753
a	2.8642874e-06	3.9535065e-05	0.0019703796	0.844507	0.15348025
m	4.3946882e-05	4.2703705e-05	0.00017136599	0.24446018	0.75528175
à	1.92715e-05	3.0878582e-05	0.00033009888	0.91131717	0.088302575
i	0.00020118592	0.00036472577	0.0015940043	0.66681725	0.3310228
</S>	0.0018879574	0.00092346274	0.001878799	0.004674611	0.9906351
