 	forse	non	li	ha	a	casa	</S>
f	0.85215414	0.14749657	0.00029290954	4.11297e-05	7.4769073e-06	3.8440794e-06	3.8973453e-06
ò	0.96192396	0.0003686756	0.027953885	0.00211847	0.002428832	0.005177687	2.8519744e-05
r	0.56926256	0.42017683	0.009977347	0.0005686149	1.2015315e-05	7.300146e-07	1.9851996e-06
s	0.9783602	0.0016019975	0.019606542	0.00038543978	1.11987665e-05	3.4189976e-05	4.3072953e-07
i	0.93639064	0.039915703	0.021272967	0.0017410809	0.00048921554	5.174594e-05	0.00013858
e	0.09020617	0.75506157	0.14261612	0.011115555	0.00078051037	9.80534e-05	0.00012212024
t	0.033469927	0.14928295	0.77327263	0.04379856	0.00012816327	4.0332405e-05	7.3660012e-06
u	0.019495951	0.06829789	0.67635167	0.18282363	0.051572442	0.0012491081	0.00020939742
s	0.0060958876	0.16591041	0.50862885	0.30843943	0.010764313	9.177278e-05	6.927142e-05
è	0.0030746348	0.26172444	0.23447497	0.31073138	0.18592967	0.0030309488	0.0010339986
c	0.008409855	0.061596125	0.21009447	0.59011585	0.1277211	0.001842702	0.00021998724
h	0.0021605531	0.0017535297	0.077222995	0.5040939	0.4126712	0.0020134056	8.43919e-05
i	0.031392142	0.00031739712	0.25424495	0.18568754	0.4993599	0.028429966	0.0005679901
è	0.10927803	0.010680383	0.00750948	0.33430785	0.47367007	0.046705343	0.017848874
s	0.0048957886	0.0010631521	0.0013792492	0.058535747	0.90039784	0.032230467	0.0014977677
s	0.0010426028	0.00019568602	0.0027502885	0.043992803	0.8107763	0.11452369	0.026718633
u	0.025408218	3.4277255e-05	0.0044989493	0.0035022919	0.08207206	0.81898093	0.065503255
</S>	0.005193538	0.00043137447	0.0005718291	0.0010599209	0.010641804	0.29269472	0.6894068
