 	è	che	stanno	ancora	svegli	</S>
è	0.99649113	0.0034345088	5.541576e-05	4.6948667e-06	1.3389886e-05	8.600331e-07
n	0.3572445	0.5039397	0.104895815	0.026792087	0.00711136	1.6458489e-05
a	0.32132143	0.50224006	0.17472477	0.0008907534	0.000818377	4.5579673e-06
s	0.018208459	0.3643799	0.5588363	0.046886623	0.011602116	8.6604276e-05
t	0.00081077666	0.3996103	0.59332716	0.0046332357	0.0016170787	1.401795e-06
a	0.00024336287	0.5184867	0.4713533	0.009443401	0.0004015819	7.176382e-05
t	0.00046449318	0.34466723	0.45692334	0.19750716	0.0004293169	8.430616e-06
ù	0.0005251632	0.18472087	0.433973	0.33499545	0.044651154	0.0011343302
n	0.0005773758	0.025315778	0.23940012	0.73272854	0.0019383958	3.9706363e-05
e	4.122034e-05	0.03236908	0.7638408	0.1976375	0.0060838177	2.7568582e-05
a	0.0049898853	0.02613143	0.07347156	0.8464182	0.047953725	0.0010351544
n	8.6567896e-05	0.00052686007	0.0014606474	0.97457606	0.023091028	0.00025887915
k	0.00020102921	0.0022170725	0.013605535	0.48647848	0.49027246	0.0072254282
ò	0.00030802842	0.013124653	0.024677727	0.25177896	0.6730055	0.037105147
r	0.00084045494	0.0007983404	0.005385813	0.6138606	0.37805945	0.0010552636
a	6.2274025e-06	0.0005155702	0.0037916247	0.9100937	0.08368292	0.0019099372
a	0.0053845	0.009569754	0.020429157	0.09233281	0.4359096	0.4363742
t	1.3339452e-05	2.0141877e-05	6.1820225e-05	0.02807839	0.91163844	0.060187884
s	1.8730095e-06	9.860381e-06	0.0002796211	0.03882403	0.8621439	0.09874074
ù	8.6080394e-07	5.269487e-05	0.00030441937	0.039799	0.8553288	0.10451427
n	1.6644944e-05	8.810353e-06	2.5661131e-05	0.0076614115	0.8992202	0.09306725
n	3.5371106e-06	2.9914341e-05	8.2772545e-05	0.014021407	0.97742575	0.0084365895
i	1.5462373e-06	9.639316e-06	3.035641e-05	0.005755819	0.9680815	0.026121229
t	7.1254763e-06	2.3312534e-06	7.079653e-06	0.001062485	0.8746588	0.12426211
i	4.6741596e-07	3.5098717e-06	1.4017881e-05	0.0022668387	0.9273233	0.070391886
</S>	1.833202e-05	6.475301e-06	1.0536021e-05	0.000110832916	0.029525584	0.9703283
