 	li	vestono	i	genitori	</S>
t	0.99840766	0.0015351957	1.1677081e-05	4.1796222e-05	3.6935285e-06
u	0.9975932	0.0023156565	8.0919024e-05	1.0123897e-05	1.04579605e-07
s	0.7749788	0.22436014	0.000508571	0.00014393592	8.49616e-06
i	0.6364238	0.3594461	0.0038727403	0.00024723	9.9897325e-06
n	0.17901152	0.8186309	0.0022616165	8.407867e-05	1.186461e-05
d	0.02116528	0.9345259	0.04168881	0.0022654359	0.00035473795
ì	0.26925305	0.63885355	0.060529552	0.02648885	0.0048749796
n	0.010387436	0.9281072	0.060986426	0.00051223644	6.6686257e-06
n	0.035886977	0.72410846	0.19420004	0.03480072	0.011003907
o	0.57807815	0.20610557	0.17487232	0.018069698	0.022874262
n	0.10430339	0.3333327	0.39574242	0.15058003	0.01604151
e	0.005392614	0.0886047	0.79376245	0.106093995	0.0061462335
i	0.0062473086	0.024991142	0.30821633	0.44292557	0.21761957
g	0.0046603475	0.062411137	0.20662224	0.5977372	0.128569
e	0.0001580983	0.011607799	0.28626606	0.65239626	0.049571782
n	0.010671394	0.0010341792	0.016064528	0.5217547	0.45047522
i	0.00025787234	0.001122018	0.17454675	0.6587012	0.16537216
t	0.0004547373	0.00025084006	0.0037402052	0.24430384	0.7512504
ò	0.000108845314	0.00036380067	0.0380402	0.7997901	0.16169713
r	0.0004358638	0.00034715908	0.008559216	0.7872377	0.20342006
i	3.0457571e-05	5.696177e-06	0.0019741666	0.9692839	0.02870584
</S>	0.0029390983	0.00030742545	0.0004382049	0.10290395	0.89341134
