 	mia	sorella	non	è	venuta	mai	qui	come	io	</S>
e	0.9943909	0.005081996	0.0005054397	1.798396e-05	1.2668444e-06	6.020176e-07	3.7553974e-08	7.6553175e-07	6.658919e-07	2.3050671e-07
d	0.810825	0.1827196	0.004365725	0.001981872	5.1164185e-05	3.5680157e-05	7.7088686e-07	1.5253586e-05	4.4425105e-06	4.9698343e-07
e	0.77820414	0.22087905	8.585131e-05	9.3459144e-05	0.00060222385	4.398988e-05	8.232621e-05	7.213135e-06	1.1465792e-06	4.8913427e-07
r	0.31485468	0.6461954	0.038557213	0.00038878803	2.324734e-06	7.016973e-07	2.1481029e-08	7.943117e-07	6.399317e-08	5.0365998e-08
f	0.06217652	0.93406314	0.0024193707	0.00076800707	0.00046199647	5.1436487e-05	4.6485125e-05	1.16035735e-05	9.621907e-07	4.1382123e-07
ì	0.71622556	0.25166148	0.020041931	0.009759254	0.0011597549	0.00025207544	0.00028948602	0.00010657226	0.00046449385	3.9321596e-05
m	0.0183187	0.8535556	0.11049945	0.017607363	1.5510519e-05	1.188349e-06	5.3651326e-07	8.6991895e-07	1.5988368e-07	5.615843e-07
m	0.07827973	0.76460445	0.059713937	0.096869476	0.0003636761	0.00011173925	1.107217e-05	3.2801378e-05	5.796275e-07	1.2453572e-05
u	0.8440819	0.112660326	0.024990221	0.016923297	0.00093027373	7.094749e-05	5.7868063e-05	2.3432376e-05	3.0981764e-06	0.0002586452
e	0.02640674	0.27660128	0.56245065	0.11471908	0.016484028	0.0019130908	0.00021771017	0.0011321956	6.0371265e-05	1.48198915e-05
n	0.012643479	0.06585581	0.59527564	0.2938678	0.03085051	0.0010380568	9.469356e-05	0.00035853966	1.3430685e-05	2.1424821e-06
è	0.012380002	0.052776024	0.2129824	0.3501586	0.32298446	0.032003514	0.007820001	0.0061410046	0.0023963433	0.00035760173
e	0.016492175	0.011708436	0.09965381	0.313265	0.5429997	0.014995789	0.0005629283	0.0003131171	8.167586e-06	8.939649e-07
r	0.0112624755	0.0062823095	0.18951459	0.10647109	0.6305235	0.05427416	0.00046902752	0.0011954899	5.425382e-06	1.960574e-06
t	0.00025719107	0.00045138027	0.0020437841	0.010718181	0.88280535	0.10134911	0.0022343006	0.00013895762	1.5951972e-06	2.0544528e-07
o	0.00024591212	0.00043641933	0.001731891	0.007925656	0.85082275	0.103678025	0.03500006	0.00011655437	4.1039562e-05	1.6286831e-06
m	0.0010776117	0.0005702224	0.01785365	0.013401441	0.7789844	0.18394896	0.0034799683	0.00067701633	5.0303324e-06	1.7253109e-06
è	0.0001546806	0.00033156632	0.003646654	0.012608228	0.72017735	0.23852704	0.023660865	0.0006718782	8.041931e-05	0.0001413205
n	9.1251226e-05	0.00053512974	0.0032727707	0.020500751	0.3542258	0.6102801	0.0065913424	0.00447527	2.6190706e-05	1.3846534e-06
a	0.026977338	0.0030424665	0.019304533	0.1614989	0.21430354	0.52420247	0.04262138	0.0068238475	0.00033252843	0.00089308893
m	0.039518256	0.011140253	0.022689864	0.0103553375	0.058526304	0.6359523	0.16189612	0.058005672	0.0017391307	0.0001768668
à	0.0036620938	0.0003873392	0.001013523	0.0023262182	0.088933945	0.44740832	0.41978925	0.022493938	0.01056352	0.0034219422
i	0.00025296104	0.00030522223	0.004895297	0.009148432	0.07115768	0.61942524	0.05875334	0.22375742	0.012158636	0.00014580617
e	0.03570514	0.005376344	0.003940902	0.0014506634	0.010889112	0.107081324	0.14236543	0.6874331	0.003840889	0.0019171005
t	0.006108229	0.00049358007	0.00037537725	7.32804e-05	0.0013242135	0.016817145	0.04151956	0.9276595	0.004175923	0.0014531426
t	0.00033157115	2.2308992e-05	1.0016898e-05	1.8591094e-05	0.002567277	0.021759884	0.35338563	0.26797718	0.2733736	0.080553934
ù	2.1530892e-05	1.2558838e-06	2.9301996e-06	1.203012e-05	0.0021987914	0.0066084196	0.7153956	0.02487775	0.21376933	0.03711245
k	0.00025518145	6.5291875e-05	0.00013767247	5.199251e-05	0.00046514027	0.011818916	0.01678632	0.7278087	0.178204	0.064406864
ù	0.0005646318	3.0044463e-05	6.712232e-06	4.8353606e-05	0.0009946304	0.0056914794	0.016756386	0.12869118	0.7839283	0.063288316
n	0.018946953	0.0017124295	0.00037049767	0.0013084847	0.010747167	0.003945496	0.015247538	0.12573558	0.60736704	0.2146188
d	0.0009967295	5.0511768e-05	1.058341e-05	2.1280559e-05	0.00012853235	0.00029306478	0.00015180167	0.0078015337	0.90561545	0.084930524
u	0.015187889	0.00026857413	3.8536314e-06	1.2512169e-05	0.0014640602	0.00026125432	0.0069094975	0.022477092	0.12550257	0.8279126
m	0.00089805527	0.00014976569	5.2950734e-05	7.707064e-05	0.00030818232	0.00016175241	0.00083194557	0.005977126	0.07099921	0.92054397
è	4.1597905e-05	7.433574e-06	1.2573512e-06	6.9244593e-06	3.639965e-05	0.00010385061	0.00048370083	0.0060634306	0.88791215	0.10534322
n	0.0001574451	2.6685773e-05	4.252938e-05	0.00011917675	0.00014740608	0.00011370147	0.00026060254	0.008032128	0.8616049	0.12949544
a	0.0011740793	7.9231424e-05	2.3218809e-05	4.127721e-05	9.757945e-05	0.0001063895	3.310643e-05	0.009457869	0.5044635	0.48452374
</S>	0.0009566723	0.00012299612	6.018657e-05	9.039461e-05	0.00031417146	0.00010285799	0.000370245	0.00068388385	0.025657168	0.9716414
