 	se	si	era	vestita	la	mia	figlia	l'	avessi	portata	alla	chiesa	</S>
a	0.97570544	0.022781577	0.0014611878	4.3665004e-05	2.7926912e-06	2.0396449e-06	2.7957237e-06	4.42415e-08	1.9154615e-07	2.800273e-08	2.0064784e-08	3.173785e-08	1.3774913e-07
n	0.5009153	0.3060948	0.17815208	0.014490732	0.00017853071	7.349654e-05	8.82907e-05	9.552748e-07	3.452579e-06	5.576651e-07	3.468987e-07	3.8135283e-07	1.0419906e-06
ì	0.008337062	0.91551626	0.073035814	0.0018319965	0.00072510197	0.0003321923	0.00014353138	2.9235822e-05	3.5737157e-05	7.4725563e-06	3.4988313e-06	1.4306045e-06	5.954315e-07
c	0.007663375	0.6847635	0.29839167	0.00902748	4.4322845e-05	9.670429e-06	9.9728786e-05	1.8322865e-07	1.02276445e-07	1.4822278e-08	2.264762e-08	7.567302e-09	3.608024e-08
h	0.0016680636	0.6733737	0.3163838	0.008359405	0.00016663168	3.8694565e-05	8.566456e-06	4.32322e-07	4.9250684e-07	9.837792e-08	5.262668e-08	1.5004325e-08	2.6734329e-08
a	0.0026803475	0.72115237	0.27209452	0.003911424	0.00013532725	1.9926896e-05	5.1749394e-06	2.8029106e-07	9.6822966e-08	5.5120626e-08	9.108054e-08	7.01334e-08	2.728376e-07
n	0.008146867	0.17819116	0.57120484	0.23682545	0.0042939037	0.0003871677	0.000934233	8.035111e-06	6.3936614e-06	1.4575697e-06	2.189471e-07	7.8032116e-08	1.8536646e-07
d	0.00023129936	0.15295984	0.3321571	0.37359816	0.13035175	0.0101719275	0.0004126323	4.5887708e-05	5.6314824e-05	7.2038233e-06	3.0188878e-06	4.534101e-06	2.9245015e-07
ì	0.027833702	0.6308744	0.199026	0.040335163	0.07830746	0.013920913	0.008205021	0.0009996038	0.00024089692	0.00014935009	4.237829e-05	5.78521e-05	7.2640164e-06
s	0.0009149497	0.0097628385	0.037007082	0.94343	0.008119715	0.0006540525	0.00010738353	1.6419818e-06	1.1718678e-06	2.888517e-08	9.0861455e-08	2.6151696e-07	6.7799357e-07
o	0.05008126	0.04546221	0.059462845	0.7567445	0.0717225	0.012105602	0.0036117858	0.00025568675	3.0058354e-05	2.6212314e-05	2.3743061e-05	3.515525e-05	0.00043858468
n	0.045504376	0.022026675	0.018539404	0.2240792	0.4556615	0.152357	0.07930144	0.0014980178	0.0009389324	1.647843e-05	3.6262456e-05	2.0292682e-05	2.0436593e-05
t	0.0056472896	0.0030065384	0.003962519	0.08271728	0.5982165	0.29206172	0.012898545	0.0006864896	0.0006703934	6.094302e-05	3.0335364e-05	2.8676663e-05	1.2764645e-05
a	0.00029924806	0.00513266	0.009050615	0.026757767	0.57710826	0.36987516	0.009326867	0.0023506423	7.619848e-05	1.8425408e-05	2.6772314e-06	1.0296831e-06	3.9972713e-07
i	0.001142063	0.0010941362	0.0013462907	0.14040777	0.5339521	0.27412727	0.047667854	0.00024257832	1.7895767e-05	1.0709203e-06	2.783047e-07	2.1506193e-07	4.4777468e-07
k	0.0028799693	0.00044768906	0.00029611317	0.023493366	0.32595745	0.4752437	0.1680202	0.0028375064	0.00072917057	8.3809326e-05	7.889772e-06	2.641649e-06	4.3959386e-07
i	0.000119041666	0.00024309315	0.00032743625	0.016846025	0.2579003	0.5355006	0.15635316	0.028644195	0.003891184	0.00012705002	3.3040003e-05	1.236848e-05	2.5050326e-06
a	0.0012159802	0.0008950185	0.0003585223	0.0032419811	0.06472947	0.33367082	0.5725306	0.022320595	0.0010162651	1.5899388e-05	3.0274848e-06	1.085485e-06	7.0967405e-07
