 	avete	cucinato	le	verdure	</S>
i	0.9991524	0.000783216	1.3704564e-05	4.672222e-05	3.9600877e-06
m	0.882643	0.10658143	0.0028006216	0.007945631	2.9385717e-05
a	0.88772357	0.082549624	0.023697	0.0049423273	0.0010873794
r	0.45773768	0.53983074	0.0022286884	0.00019567751	7.2179587e-06
è	0.034857288	0.80613524	0.1535225	0.0046669208	0.00081799796
t	0.05208732	0.80616236	0.13927622	0.0024429637	3.10789e-05
s	0.0039061708	0.90861183	0.086362705	0.0010948067	2.4533114e-05
a	0.013085708	0.5942456	0.37205902	0.016796738	0.0038130223
t	0.04659714	0.20455548	0.649482	0.08970659	0.009658776
o	0.00020112922	0.12526742	0.77336925	0.09705817	0.00410404
l	0.0014321944	0.008794604	0.33656543	0.6495092	0.003698604
a	0.0002120262	0.07078927	0.6645691	0.16594923	0.09848044
l	0.0005526767	0.0045239464	0.09777635	0.87048936	0.026657732
à	0.00039267048	0.009886329	0.33483142	0.2736322	0.38125739
c	0.00033703685	0.002476882	0.024172658	0.9200224	0.052990988
h	3.2275664e-05	0.00012877889	0.026375199	0.94743943	0.026024325
a	4.5776565e-06	5.0762737e-05	0.028790388	0.95605356	0.015100695
n	3.2826647e-05	7.0529844e-05	0.00078769645	0.0387305	0.96037847
a	9.801092e-06	0.00012267003	0.05397363	0.54654115	0.39935273
</S>	3.5292487e-05	2.3353708e-05	0.0007432099	0.030531207	0.9686669
