 	viene	fabbricato	</S>
è	0.98364645	0.015652752	0.00070075813
r	0.7331119	0.2657917	0.0010963327
k	0.42309743	0.57678485	0.000117711
e	0.006788726	0.9918771	0.0013342041
t	0.035762478	0.91050565	0.0537319
e	0.0037673379	0.985727	0.010505686
f	0.000458355	0.92860943	0.07093223
a	0.0016638996	0.94626224	0.052073963
b	0.00040878597	0.9045633	0.095027916
b	0.0014484291	0.8188708	0.17968075
r	0.07287628	0.5440294	0.38309425
i	0.17052491	0.2956384	0.5338367
k	0.044270985	0.19815643	0.7575726
à	0.003950381	0.07120611	0.9248435
t	0.09641049	0.38995513	0.5136344
o	0.011148338	0.37882483	0.61002684
</S>	0.0050117136	0.012583589	0.98240465
