 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.99799937	0.001972801	1.1228091e-05	3.168784e-06	1.2964178e-05	4.734462e-07
c	0.9300482	0.06205697	0.0057569486	0.0011174476	0.0010175708	2.9038113e-06
h	0.9542963	0.045117524	0.000575506	9.710965e-06	9.596836e-07	1.2163852e-07
a	0.82869935	0.1676232	0.003608763	2.8268601e-05	3.612342e-05	4.2646575e-06
n	0.0816159	0.88743436	0.030811813	8.09228e-05	5.382058e-05	3.1380018e-06
a	0.001795413	0.9699138	0.027853247	0.0004131892	2.3923169e-05	3.3843384e-07
v	0.003289931	0.59556115	0.37511045	0.022891913	0.003087377	5.9190097e-05
o	0.0033718075	0.3440776	0.64191186	0.0084189745	0.0015580156	0.00066177873
r	0.0023262585	0.26965776	0.51009506	0.21578906	0.0020134132	0.000118398355
à	0.0008526979	0.025553288	0.9399127	0.032496564	0.0010528645	0.0001318526
s	0.0009772815	0.036012128	0.56920534	0.38587686	0.007823939	0.00010444377
o	0.0062653525	0.064118795	0.85452926	0.07430267	0.00068857847	9.526273e-05
t	0.052611154	0.022617375	0.2350176	0.64779764	0.03968319	0.0022730164
s	0.00011944554	0.0024557805	0.613689	0.35868782	0.02455683	0.0004911078
o	7.635126e-05	0.0025302216	0.92515	0.05461491	0.0144407535	0.0031877167
m	0.0005516257	0.0005726992	0.011050474	0.93562114	0.04487642	0.0073275995
ì	0.00021927043	0.0003159475	0.31224293	0.5941666	0.050363954	0.04269131
k	3.5299687e-05	8.817161e-05	0.00075867353	0.18624422	0.7937569	0.019116739
u	0.0028535796	0.000883814	0.005808963	0.6485839	0.26195538	0.079914354
à	0.01730614	0.0028388926	0.007905285	0.041501693	0.13969323	0.79075474
i	0.00013847392	3.6760233e-05	0.00011224681	0.04362105	0.786409	0.16968244
m	0.00014935665	2.4731444e-05	7.549448e-05	0.0034408607	0.4762358	0.5200738
è	2.6453612e-05	1.4719469e-05	8.5478045e-05	0.016256006	0.87997764	0.1036397
r	0.00016321476	2.7115511e-05	0.000220079	0.008850249	0.7989471	0.19179228
i	5.1022894e-06	4.520986e-06	4.918096e-06	0.004404491	0.9133893	0.08219156
</S>	0.0011263439	0.00017709883	0.0005764101	0.00047881395	0.08917544	0.9084659
