 	vuole	vuole	mangiato	caldo	</S>
t	0.999215	0.00071489305	4.940631e-05	1.3503495e-05	7.1004406e-06
è	0.98387396	0.016009565	0.00011291062	3.2421874e-06	2.8373665e-07
l	0.8051202	0.19057685	0.0042432477	5.2108135e-05	7.554115e-06
i	0.80656314	0.19198193	0.0014234743	3.0779167e-05	6.9652657e-07
t	0.1852949	0.699828	0.11127672	0.0029557422	0.0006446358
è	0.017536962	0.95612884	0.026304515	2.905194e-05	5.811499e-07
l	0.005864588	0.9311749	0.06291358	3.9308277e-05	7.700016e-06
i	0.018769795	0.84825075	0.13160592	0.0013593014	1.41963355e-05
f	0.114314325	0.20839664	0.6618912	0.012017279	0.003380564
a	0.0025707418	0.19208759	0.76530087	0.038895104	0.0011456687
m	0.0003096836	0.020115446	0.9604325	0.01581934	0.0033230742
è	0.0039514787	0.02074871	0.7875552	0.15090403	0.036840647
n	0.00015880019	0.0052861515	0.96930254	0.024315009	0.0009374083
o	0.00857478	0.012894005	0.3932841	0.40134856	0.18389855
t	0.14551578	0.048118073	0.103246324	0.22535056	0.47776923
r	0.00017774872	0.0005166544	0.08000025	0.8332267	0.086078644
e	0.00032507387	0.00051786815	0.019133443	0.6970932	0.2829304
m	0.0003766157	0.00021326593	0.0033330224	0.80768263	0.18839446
m	6.054632e-05	0.00017670309	0.03913012	0.86082906	0.099803604
ò	0.0010696382	0.0005599876	0.0056872997	0.7569386	0.2357445
</S>	0.0003657594	0.00060838345	0.091675915	0.23836866	0.6689813
