 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.99890995	0.00096669723	0.00011484034	1.4608229e-06	3.5027227e-07	6.3642583e-06	4.493795e-07
g	0.44947246	0.54740703	0.0029466448	0.0001369022	6.734296e-06	2.8902276e-05	1.3238124e-06
e	0.85394055	0.14583476	3.5269146e-05	0.00017351094	3.949699e-06	1.1916234e-05	5.793789e-08
n	0.016568432	0.96506315	0.018315086	4.5957604e-05	2.0434106e-06	4.80924e-06	4.896591e-07
i	0.0721539	0.91731036	0.0047000987	0.0052080923	0.00032443626	0.00028647404	1.6666347e-05
t	0.0071163964	0.8217027	0.17061779	0.0005520551	8.299702e-06	2.07969e-06	5.995141e-07
ò	0.0037358713	0.60192305	0.07806478	0.28315422	0.03208568	0.00074682373	0.00028958867
r	0.0032233598	0.57678765	0.36714286	0.05264104	0.00018443285	1.8547536e-05	2.1450805e-06
u	0.016490541	0.65186715	0.0052138353	0.3078859	0.018458236	8.278354e-05	1.5447913e-06
e	0.066142656	0.1431708	0.5356273	0.24456437	0.008028443	0.0023442162	0.00012218714
n	0.008804959	0.029677883	0.2633262	0.6470415	0.050376132	0.0007341781	3.9187747e-05
è	0.0018104529	0.027469235	0.13873424	0.71569276	0.09661235	0.019000636	0.00068028935
n	0.003709124	0.030136595	0.049806613	0.88042855	0.032214936	0.0036806471	2.3554196e-05
u	0.010783356	0.19442981	0.09460655	0.47929388	0.17031372	0.04828929	0.002283384
s	0.15265651	0.051004644	0.20462927	0.24772152	0.22611736	0.110328406	0.007542276
s	9.18602e-05	0.0006153364	0.0056239464	0.5149526	0.16806144	0.30958194	0.0010728756
c	0.0004066438	0.00084323424	0.0009193135	0.44863176	0.38831693	0.13509026	0.025791835
e	0.00023886841	0.0012139875	0.000115599956	0.26739395	0.6922395	0.03748916	0.001308851
r	0.002333615	0.000980019	0.011190034	0.014892368	0.22822106	0.42188984	0.320493
r	5.76979e-05	8.648439e-05	0.006256499	0.08331607	0.4494156	0.44295678	0.01791091
è	9.56537e-06	5.0444647e-05	0.00016680273	0.07628725	0.20337854	0.67692965	0.043177787
t	1.6700697e-05	3.8233273e-05	0.00043084935	0.0022939253	0.0048158388	0.9823449	0.010059551
s	5.4653843e-05	5.2874806e-05	6.136569e-05	0.013131786	0.0139144985	0.9623982	0.010386632
u	0.0027012874	0.0019324367	5.986276e-05	0.022914348	0.027415184	0.8808366	0.06414028
m	0.0011043798	0.00032073667	7.538405e-05	0.00015864115	0.0033825361	0.38382086	0.6111375
e	7.3519154e-06	5.4172983e-06	3.422839e-05	0.0005422633	0.0061136424	0.9589553	0.034341834
m	4.7750098e-05	1.1535495e-05	3.8490653e-05	1.9086008e-05	0.0006145453	0.39229047	0.60697806
à	2.4753492e-05	1.9622132e-05	1.35048085e-05	8.839005e-05	0.0008285532	0.95965445	0.03937075
i	3.3167747e-05	2.027527e-05	0.0010803777	0.0003243836	0.0011747052	0.8693984	0.12796873
</S>	0.0039021831	0.0011912977	9.3320195e-05	0.00019207502	0.0012855113	0.010409419	0.98292625
