 	qui	dentro	deve	mettere	un	tappeto	</S>
c	0.9996767	0.00031237706	9.432997e-06	1.2589077e-06	2.7692982e-07	1.8091791e-08	4.4496826e-08
i	0.9909519	0.008976703	1.7090617e-05	3.520123e-05	1.0742476e-05	8.025726e-06	2.7104497e-07
ù	0.54604566	0.4467212	0.006982349	0.00023382818	1.48468025e-05	2.4776227e-07	1.8735434e-06
m	0.03145403	0.89950913	0.06796164	0.0010408309	3.0501109e-05	9.712951e-07	2.8514644e-06
è	0.11207075	0.84838706	0.03208657	0.0071455897	0.00022568507	7.70827e-05	7.1653785e-06
s	0.00488788	0.5179664	0.46604508	0.010970343	9.855782e-05	2.7075086e-05	4.6148402e-06
a	0.004787615	0.6694279	0.32047382	0.004978408	3.231124e-05	0.00021488985	8.507163e-05
è	0.027669711	0.18757246	0.6813136	0.0996008	0.00346909	0.00035171598	2.2681435e-05
n	0.0010535534	0.027985875	0.843641	0.12681592	0.00048659794	6.117238e-06	1.1005664e-05
a	0.0026140553	0.085897006	0.79746926	0.10817232	0.004050829	0.0012947042	0.00050179375
v	0.025701728	0.02241644	0.15943636	0.7693067	0.02241246	0.00071538927	1.0899544e-05
à	0.014401211	0.0071298745	0.09988088	0.6878803	0.15812467	0.02413004	0.008452986
l	3.9868624e-05	0.00299858	0.014100607	0.8800018	0.102688886	0.00016047088	9.7895245e-06
i	0.008811322	0.014102776	0.052245177	0.6922666	0.22166064	0.0019383135	0.008975219
è	0.11971947	0.020864516	0.032374837	0.34388033	0.45886645	0.023071244	0.0012231932
n	0.013460951	0.0046926867	0.0037754674	0.15132225	0.81854326	0.0040134448	0.00419192
a	0.0022126604	0.00064201694	0.004101329	0.13452666	0.81472355	0.024232782	0.019561002
t	0.41338944	0.03302846	0.018112712	0.050612886	0.27379286	0.17318605	0.037877575
a	6.1573875e-05	2.4694557e-06	8.67597e-06	0.0013660964	0.08522472	0.8702659	0.04307058
p	0.000581784	0.00018539112	0.00031874995	0.0059510367	0.14930162	0.7570164	0.08664502
p	8.711832e-05	7.501425e-06	6.29163e-06	0.00071139954	0.03874188	0.8233454	0.13710037
è	0.000492389	1.4379494e-05	1.8369672e-05	7.605511e-05	0.002358598	0.78168523	0.21535495
t	7.131702e-05	0.00024878347	0.00060521584	0.001693038	0.2147004	0.59560454	0.1870767
o	0.0012435978	0.0001004299	1.6107693e-05	0.00016233367	0.015209999	0.64352417	0.33974332
</S>	0.020945862	0.0010873534	0.00027530736	0.00034400908	0.00079782045	0.026902072	0.94964755
