 	non	so	cosa	scrive	</S>
e	0.9027029	0.09467352	0.0012067322	0.0013518686	6.492091e-05
n	0.2641881	0.7304117	0.0049870587	0.0003014401	0.00011173352
e	0.20351143	0.71648866	0.071877144	0.006116453	0.002006298
t	0.007391912	0.9230295	0.06763143	0.0017937531	0.00015334746
s	0.0115214065	0.30093965	0.6274998	0.039627828	0.020411247
è	0.0015036864	0.13736787	0.6613969	0.18746442	0.012267127
r	0.009718703	0.4851016	0.30562562	0.18500492	0.014549051
o	1.14921e-05	0.0151922675	0.9693341	0.015415641	4.6486275e-05
t	0.010614109	0.05203134	0.109402835	0.6899922	0.13795952
i	3.7700673e-05	0.0025705877	0.25957572	0.69362795	0.044188026
g	0.00016376449	0.0016110882	0.017878082	0.84439635	0.13595074
r	7.035404e-05	0.001857664	0.14881834	0.67407525	0.17517838
à	2.3794253e-06	0.0006607826	0.22141628	0.361909	0.4160116
f	2.4904832e-05	0.0004602937	0.0040858123	0.8596344	0.13579461
i	4.9660315e-07	4.0758096e-05	0.022341106	0.96957785	0.008039861
</S>	0.000185992	0.00049369433	0.00083436636	0.13556375	0.8629222
