 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
k	0.9989059	0.00094936416	0.00011226876	1.9686811e-05	2.6788402e-06	8.657923e-06	1.1117878e-06	4.2667148e-07
a	0.23513821	0.51890916	0.2220487	0.01938311	0.0011053461	0.0033217375	1.7029626e-05	7.6658354e-05
n	0.91877425	0.07761765	0.0022306535	0.0010014577	0.0002575704	0.00011520669	2.7364156e-06	4.8343134e-07
è	0.107566	0.74963915	0.114653006	0.01792035	0.001557261	0.008616747	3.378746e-05	1.3749007e-05
n	0.08301846	0.8821835	0.03421476	0.0005369685	2.1507089e-05	2.4348585e-05	1.5529402e-07	1.7409016e-07
a	0.44292805	0.51643026	0.036600087	0.0032459372	0.0007203126	6.636194e-05	4.967119e-07	8.505255e-06
s	0.03046157	0.76084644	0.15785956	0.037522584	0.0038533518	0.009438043	1.4324429e-05	4.1205517e-06
t	7.006433e-05	0.6865088	0.30147836	0.011831111	5.696787e-05	5.4696302e-05	5.563518e-08	4.406277e-09
o	6.625102e-05	0.25488245	0.7389842	0.0059913057	6.424644e-05	9.553963e-06	1.8091449e-06	1.4754289e-07
t	0.001053735	0.44733715	0.5308882	0.020242482	0.00043356695	4.4335076e-05	4.6922835e-07	7.963683e-08
e	8.133832e-05	0.2335163	0.44518328	0.31342006	0.006425999	0.0013658041	5.866012e-06	1.336423e-06
l	0.00019162384	0.15092795	0.65020025	0.1951559	0.0034291926	9.46439e-05	3.733511e-07	6.00466e-08
è	7.036929e-05	0.113944896	0.4060702	0.4577664	0.017673334	0.0044448706	2.6883916e-05	3.0255828e-06
f	0.0002174712	0.024973903	0.31746185	0.64236295	0.013039409	0.001943765	7.081359e-07	3.3640713e-08
o	0.0005660389	0.0757087	0.42634568	0.486334	0.010943862	9.0465735e-05	6.1802652e-06	4.967508e-06
n	0.012271177	0.016954891	0.091525204	0.6304456	0.15134229	0.09726385	0.00016920162	2.7771168e-05
o	0.001544818	0.013446781	0.112614825	0.61879	0.22158739	0.031504277	0.00042426135	8.766583e-05
t	0.00076379185	0.0010988639	0.010439407	0.40709707	0.54968065	0.03089205	2.6037229e-05	2.085432e-06
è	7.4687837e-06	0.001107463	0.045631345	0.55676895	0.36055616	0.035812147	0.00010605593	1.0390543e-05
l	0.00014079828	0.00040873123	0.004734768	0.21785533	0.5328833	0.24394196	3.494337e-05	2.3097344e-07
i	0.0006463741	0.0034262505	0.02198328	0.44270805	0.5246229	0.006217871	0.00031136267	8.3851046e-05
n	0.0143855065	0.016664037	0.018215941	0.050620157	0.55896807	0.3367529	0.004141904	0.00025150826
a	0.0014356046	0.0018747069	0.0059385616	0.08427116	0.66272455	0.23325379	0.009926926	0.0005747073
t	0.0020596094	0.0018148067	0.0016899001	0.009910796	0.3799905	0.5988706	0.005443634	0.00022020943
s	8.517446e-06	8.958097e-05	0.0013644398	0.068936735	0.4923899	0.40564582	0.030065952	0.0014990743
è	6.9755943e-06	0.00010166106	0.003607064	0.05265566	0.2970774	0.5844422	0.043921497	0.018187594
r	0.00011963325	0.00013055731	0.00027862863	0.014107373	0.39673808	0.5785578	0.009363523	0.0007043835
i	5.294101e-05	0.0003137923	0.0022297683	0.05007656	0.3072377	0.51155937	0.12599237	0.0025374743
à	0.011257452	0.019944679	0.019259825	0.022277253	0.3361799	0.35616407	0.15828788	0.07662897
t	0.008791152	0.0077453656	0.003644731	0.009757209	0.18173204	0.372583	0.16466199	0.25108445
t	2.837913e-05	6.9080066e-05	0.00014613417	0.0018821163	0.03269527	0.20360604	0.7540293	0.007543694
i	0.00089789927	0.0023423224	0.0009512034	0.006423177	0.097405836	0.74488354	0.059197832	0.08789819
n	0.001056613	0.0016431483	0.0010520045	0.0017907978	0.015554656	0.06416526	0.1289551	0.7857824
A	1.0511037e-05	1.654527e-05	1.4066972e-05	6.6227854e-05	0.0020991354	0.023895968	0.95051235	0.023385266
n	0.00061446446	0.0010098178	0.000546547	0.00089785387	0.008843534	0.024646709	0.5657871	0.39765406
n	0.00028977173	0.00018000884	6.883988e-05	0.00020700917	0.0027441853	0.0037317467	0.85514027	0.13763817
a	0.0021726382	0.0054314844	0.0016506412	0.0037746637	0.030907098	0.11044238	0.16306673	0.6825543
</S>	0.00020361546	0.00025007178	8.581312e-05	0.00022080506	0.0007442842	0.0037859292	0.012430269	0.9822792
