 	il	dito	si	gonfiò	</S>
o	0.9864212	0.0135020735	4.446861e-05	2.8512393e-05	3.7137322e-06
d	0.7357197	0.24310505	0.019308973	0.0018033548	6.2895655e-05
à	0.3777159	0.51012343	0.10659088	0.004939318	0.00063055544
t	0.53169405	0.20248951	0.2597356	0.0059589404	0.00012183313
t	0.007403194	0.5229738	0.4684117	0.0011953836	1.590904e-05
i	0.036229324	0.3084158	0.6507635	0.0035881295	0.0010032045
l	0.052892018	0.48455	0.42296022	0.03543154	0.0041662604
o	0.00039965467	0.12550874	0.8143246	0.05964955	0.00011750454
è	0.017029943	0.042583555	0.29429775	0.6250834	0.021005295
p	0.0069293743	0.015326236	0.21105023	0.71650904	0.05018507
r	0.00015397734	0.008562761	0.07655108	0.90910697	0.00562526
i	0.0015132673	0.00049658713	0.024778277	0.93517816	0.038033757
m	0.0031656933	0.00045813023	0.0019623449	0.59848547	0.39592835
m	2.4642672e-05	0.0003171231	0.0029163267	0.9603237	0.03641824
è	0.0005295579	0.00054705347	0.021467242	0.7779764	0.19947986
n	0.0005445632	0.00027013838	0.022710618	0.6642698	0.3122049
o	0.0010592381	0.00016612482	0.0017604271	0.33514243	0.6618718
</S>	0.01751714	0.0014074148	0.0050984635	0.03215586	0.9438211
