 	il	lenzuolo	vuole	lavato	</S>
o	0.9975873	0.0023964297	7.3564865e-06	7.656819e-06	1.3223989e-06
p	0.86235154	0.12004445	0.017409623	0.00017778469	1.6646427e-05
l	0.92991287	0.060807202	0.006366159	0.0026261671	0.00028766898
a	0.16421647	0.83304554	0.0012302395	0.0013860576	0.00012172183
ù	0.006879065	0.925676	0.067102894	0.00030621287	3.588388e-05
n	0.020183465	0.42561194	0.5539487	0.00019700018	5.8904403e-05
a	0.006151352	0.9059511	0.058651876	0.02647072	0.0027749676
t	0.12737319	0.029475765	0.7939779	0.047371503	0.0018015566
è	0.0005353759	0.0024860054	0.87791604	0.11753535	0.0015272269
l	0.0008414631	0.0007520893	0.9685888	0.029176928	0.0006406729
i	0.0031159634	0.0020559456	0.5969191	0.38521108	0.012697869
p	0.1297015	0.0030807566	0.08798396	0.7209818	0.05825201
l	0.00027898102	4.3107004e-05	0.07313359	0.8968726	0.02967176
i	0.0022237622	6.887078e-05	0.054286968	0.863456	0.07996435
m	0.001564963	0.00018918906	0.00704621	0.52703565	0.46416396
è	0.00041806692	6.748252e-05	0.008788757	0.9392523	0.051473383
n	0.00030735295	0.00011227369	0.014097918	0.94254774	0.042934675
o	0.0020347738	0.00033954755	0.017571997	0.5243396	0.45571405
</S>	0.046898186	0.0011894096	0.004321903	0.06266771	0.8849228
