 	non	ha	che	li	aspettiamo	</S>
e	0.9823291	0.016937146	0.0004533069	0.00027825925	1.2769668e-06	9.123843e-07
n	0.894352	0.092857696	0.005691796	0.0016779073	0.0019612329	0.0034594536
è	0.037255928	0.8658683	0.06897219	0.027827902	2.9825169e-05	4.5791166e-05
n	0.032983348	0.6487496	0.08663903	0.013909524	0.060249355	0.15746915
a	0.0505911	0.881847	0.0584134	0.0051740897	0.0005259232	0.0034483783
t	0.0143129015	0.033626247	0.73711616	0.18159014	0.01870873	0.014645868
u	0.018266723	0.016192835	0.63387454	0.33158702	5.0385817e-05	2.8483439e-05
s	0.004542434	0.0047903825	0.13640155	0.7944548	0.052174464	0.0076362854
m	0.011662618	0.0035086928	0.16975039	0.81496274	7.843146e-05	3.7121186e-05
ì	0.036000498	0.12520085	0.12955453	0.7091075	0.00012588837	1.0760037e-05
n	0.0006149961	0.0035361873	0.020548027	0.6782843	0.22587903	0.0711374
o	0.00457211	0.06534811	0.13208646	0.6726414	0.08024651	0.04510538
m	2.7999527e-05	2.5772539e-05	0.0011623254	0.074508816	0.86626446	0.05801062
e	0.002645163	0.01815377	0.200687	0.7776087	0.0008549589	5.046964e-05
</S>	1.912374e-05	1.9829296e-05	0.001759874	0.02750556	0.8533158	0.11737983
