 	le	ragazze	vogliono	guardate	</S>
t	0.95951116	0.038991913	0.0014462253	5.051492e-05	1.5041259e-07
a	0.83481336	0.08181917	0.0699166	0.012266165	0.0011847365
k	0.4787314	0.4332702	0.07963865	0.0022554095	0.006104503
o	0.6142671	0.19865665	0.07798218	0.10881387	0.00028026098
r	0.27600977	0.6918909	0.020135941	0.00386873	0.00809465
à	0.3911695	0.4048853	0.14724484	0.055485077	0.001215351
s	0.112801775	0.5800613	0.18021546	0.008327843	0.11859363
i	0.08729491	0.2528186	0.6324726	0.004942457	0.022471458
a	0.00046367274	0.8888486	0.0970828	0.0071721585	0.0064327456
t	0.00037153723	0.22665304	0.7661309	0.0046176603	0.0022268712
è	0.048672862	0.04354805	0.8631545	0.044076134	0.00054856617
l	0.00070774456	0.019969128	0.96439373	0.003152401	0.011776949
o	0.0020252408	0.0046824412	0.9868585	0.0026209615	0.0038129452
n	6.317395e-05	0.004099335	0.11395125	0.82550657	0.056379676
e	0.025930792	0.007288471	0.35793796	0.60794574	0.00089708006
k	9.824293e-06	0.00094461115	0.016078869	0.975004	0.007962631
a	0.05078883	0.0070481943	0.05534041	0.8860522	0.0007702858
n	6.883129e-06	0.0010281393	0.00452336	0.9728256	0.021616016
o	0.18437286	0.004792376	0.014427502	0.7929525	0.0034548289
n	1.5084827e-05	0.0011228928	0.0020277686	0.9414532	0.055381
i	0.10898476	0.0046651517	0.019568816	0.8504795	0.016301813
m	2.7031947e-05	0.00094206276	0.0015075807	0.94046414	0.05705925
m	0.0022321497	0.0018052536	0.0077892966	0.9858856	0.0022876982
è	0.0026572403	0.021656772	0.029049747	0.9462587	0.00037759272
n	1.538185e-05	0.00037447273	0.0065064332	0.3941898	0.5989139
a	0.0045422288	0.0121872425	0.033902973	0.10509417	0.84427345
</S>	0.00083807413	0.003496376	0.0056399116	0.33280843	0.65721726
