 	non	sono	ancora	vestita	</S>
e	0.9363988	0.063331	0.00019823712	7.158997e-05	3.1224556e-07
n	0.9226819	0.07203841	0.0012696177	0.0014863082	0.0025236653
ì	0.03367179	0.86104995	0.09954914	0.005645697	8.3373714e-05
m	0.036971737	0.8433152	0.019864142	0.0044624708	0.09538647
e	0.07915484	0.91323316	0.0050988784	0.00037051324	0.0021426582
a	0.0683044	0.09416649	0.7184855	0.07857907	0.040464606
n	0.011039975	0.015284041	0.77661747	0.18619773	0.010860709
k	0.003162439	0.0015955698	0.9352285	0.059970807	4.2744887e-05
ò	0.06941348	0.038753837	0.8300124	0.06175647	6.396069e-05
r	0.057910908	0.076842375	0.23588255	0.050071575	0.57929265
a	0.018140694	0.024916532	0.79756397	0.14613433	0.013244439
e	0.00021152737	8.6892906e-05	0.033634637	0.91977423	0.046292752
n	0.0014545205	0.0022180364	0.0284574	0.9604964	0.0073735802
d	0.0049912585	0.0014263366	0.026058167	0.9637956	0.0037286058
i	0.018649288	0.0047545726	0.08418982	0.8740412	0.018365113
m	0.0025879578	0.0023071286	0.044058997	0.9060625	0.044983506
è	5.3103067e-05	4.1884574e-05	0.035240278	0.96386594	0.0007987631
n	0.0004079857	0.0010695216	0.15275599	0.18013379	0.66563267
i	0.0049417634	0.025698693	0.075633466	0.12346271	0.7702634
</S>	0.0015078791	0.006157156	0.03704086	0.21107063	0.7442235
