 	il	dito	si	gonfiò	</S>
o	0.99593085	0.0039517996	7.146884e-05	4.5727673e-05	1.1119488e-07
d	0.84676564	0.14448881	0.0032401294	0.0012516085	0.004253783
à	0.14168806	0.80942076	0.009092364	0.039743938	5.479186e-05
t	0.051961306	0.94160646	0.0015494387	0.00047320646	0.0044096066
t	0.07166266	0.9246015	0.0020688986	0.0005292172	0.0011378318
i	0.06407718	0.89202744	0.017642278	0.026117895	0.00013510327
l	0.011671115	0.72045606	0.14771087	0.10960292	0.010559048
o	0.10452994	0.36329022	0.19419023	0.33781347	0.00017618209
è	0.008243514	0.19919081	0.6321903	0.12644058	0.033934835
p	0.13603708	0.55001366	0.17732893	0.023934959	0.11268541
r	0.045163218	0.11755071	0.67112553	0.15850054	0.0076600215
i	0.017108968	0.06597759	0.43192744	0.48471296	0.0002730482
m	1.7968441e-05	0.00026526436	0.043808904	0.9274752	0.028432645
m	0.0073408564	0.026433373	0.063496105	0.90271264	1.700844e-05
è	0.011752547	0.022358786	0.29414058	0.6716309	0.00011710189
n	3.558494e-05	0.009119715	0.018646138	0.9396957	0.032502875
o	0.0040698685	0.53768814	0.056791645	0.33678067	0.06466965
</S>	2.636229e-05	0.00031676516	0.003898737	0.8434197	0.15233852
