 	non	ho	dove	d	andare	</S>
e	0.9941858	0.0015240242	0.004010424	0.000121590936	0.00015731975	8.384299e-07
n	0.9808684	0.009143142	0.007763748	0.00052466907	0.001005076	0.00069505203
è	0.0077264477	0.014738445	0.96256846	0.009018783	0.005927526	2.040284e-05
c	0.032542784	0.3859741	0.44325328	0.03301487	0.005015518	0.10019939
h	0.23806584	0.096066974	0.6521807	0.008648192	0.00032381332	0.004714479
o	0.044681944	0.031856105	0.8635504	0.054578166	0.0046705375	0.00066287117
p	0.0050181355	0.29228085	0.64913374	0.050192367	0.0011324602	0.0022423556
u	0.02762081	0.048077185	0.45037347	0.46074256	0.013171076	1.4924036e-05
è	0.010615743	0.03727601	0.0758368	0.77031314	0.081516564	0.024441753
n	0.03286443	0.07909111	0.058879875	0.6860391	0.0306496	0.1124759
a	0.002780478	0.010070383	0.030415956	0.81315273	0.14228432	0.0012961635
p	4.1396743e-05	0.00015011542	6.696223e-05	0.01147273	0.95487636	0.033392407
à	0.007981499	0.007758675	0.030890632	0.07162731	0.8814348	0.00030698066
o	0.0016712185	0.00618473	0.0026602566	0.12149549	0.43948856	0.42849976
</S>	1.266851e-05	0.0001287758	0.00013303525	0.0058417707	0.8977963	0.09608745
