 	non	ci	dimentichiamo	mai	</S>
e	0.978738	0.02112917	0.00013126795	1.1916777e-06	2.9303138e-07
n	0.7269653	0.2528041	0.0025986682	0.005871951	0.011759974
è	0.08221552	0.6488657	0.26857713	0.0001735347	0.00016815694
n	0.073238164	0.70769835	0.030462822	0.033165142	0.15543549
a	0.102979355	0.86956686	0.016945474	0.003911905	0.006596347
a	0.052007522	0.78775984	0.07376265	0.041580718	0.044889312
l	0.0093885325	0.8684667	0.10310007	0.011900058	0.0071446463
l	0.017887132	0.07544422	0.9059149	0.0003514942	0.0004022287
i	0.09522851	0.123690516	0.7809315	0.00011424549	3.5295605e-05
m	0.014060255	0.1034984	0.68167436	0.16789623	0.03287067
o	0.014930402	0.03395813	0.9509159	0.00016990912	2.5673487e-05
n	0.00044083165	0.024380678	0.95651644	0.0174505	0.0012115445
i	0.00085737364	0.0158551	0.9829496	0.00029878897	3.9157763e-05
s	0.00046121376	0.0020718537	0.51860976	0.43503302	0.04382412
t	0.0004395053	0.0035272413	0.9957314	0.0002506799	5.1211977e-05
ù	0.003358536	0.029815668	0.96605766	0.00069833104	6.9832335e-05
m	0.004125721	0.15274455	0.23186688	0.3278859	0.2833769
e	0.010873777	0.013352244	0.9353529	0.028003644	0.012417367
s	8.885906e-06	0.0002007402	0.0015345712	0.9473087	0.050947145
t	0.030371077	0.17527254	0.7890143	0.0049488624	0.00039328923
a	0.053825773	0.3602524	0.58016914	0.005609753	0.00014291341
m	1.2696411e-05	0.00012157819	0.00017949066	0.9127497	0.086936474
à	0.009523665	0.20189182	0.77980405	0.00840067	0.00037971442
i	5.280553e-06	0.00023692728	0.0020920078	0.77312934	0.22453646
</S>	3.0028285e-05	0.0009175892	0.00032136447	0.88652164	0.11220933
