 	nella	pasta	vuole	sale	</S>
s	0.99284804	0.0030339265	0.004070263	4.7347e-05	3.1206653e-07
t	0.9305928	0.06395172	0.0031380875	0.0023164218	8.775202e-07
i	0.9138795	0.08095817	0.0016458232	0.0035162198	2.4096477e-07
p	0.8748167	0.11564851	0.0076294644	0.0018017216	0.00010355419
à	0.102883875	0.8799709	0.012333961	0.00480919	2.097185e-06
s	0.20377468	0.5949583	0.18651354	0.009316739	0.0054367045
t	0.009499175	0.7571388	0.22016162	0.012950541	0.00024983851
a	0.013387836	0.6961626	0.07251054	0.21790256	3.641553e-05
t	0.00079370185	0.013312093	0.94730645	0.034114808	0.0044730008
è	0.009992902	0.07391379	0.8638897	0.052172948	3.067772e-05
l	0.0012897211	0.002743007	0.8489554	0.13322747	0.013784427
i	0.00036439297	0.01652812	0.8474544	0.1349137	0.0007394128
à	0.00032288439	0.0005149197	0.22697301	0.6004143	0.17177494
l	4.968397e-05	0.000136951	0.07888024	0.8627785	0.058154657
a	9.4034855e-05	0.0016439016	0.036950257	0.9574982	0.0038136218
</S>	7.271213e-05	5.3466745e-05	0.0015466786	0.2532004	0.74512666
