 	io	non	ho	niente	da	mangiare	</S>
e	0.9522022	0.04662753	0.0007884571	0.0001851878	9.544659e-05	9.875157e-05	2.5489612e-06
v	0.99256694	0.0067567024	0.00010715291	0.0001259245	7.560295e-05	0.00017046668	0.00019716368
ò	0.53228456	0.07718081	0.008675648	0.3744872	0.005372201	0.0019768802	2.2676935e-05
e	0.23680535	0.42291918	0.079608224	0.060633857	0.014407242	0.011777959	0.17384814
n	0.016632449	0.89333314	0.058583226	0.025140261	0.00226868	0.0006406903	0.0034016313
è	0.10489987	0.15491492	0.088938266	0.64656687	0.0025313667	0.0021102268	3.85045e-05
c	0.015599603	0.10038191	0.3680333	0.3686491	0.012186496	0.0064412816	0.12870824
h	0.12809509	0.25518444	0.040521316	0.5745145	0.00048046515	0.00033957552	0.0008646431
o	0.10329984	0.011170339	0.01833019	0.8590487	0.0036745663	0.003908619	0.0005677017
t	0.00017652629	0.02331918	0.46879917	0.47311202	0.030489571	0.0019894703	0.0021140724
ì	0.01179828	0.03915758	0.08815381	0.7443687	0.105185	0.011316577	2.0082347e-05
p	0.00050848234	0.001492634	0.0073562847	0.93634486	0.043149196	0.0028030255	0.008345427
o	0.008107608	0.022607857	0.10510607	0.7451385	0.09390091	0.018916432	0.0062225647
t	2.179955e-05	0.00074007816	0.013455967	0.02261872	0.8240453	0.12091324	0.018204985
i	0.0030553215	0.011088496	0.013216225	0.113301516	0.76547956	0.09373232	0.00012660572
n	2.2011696e-05	0.00044075106	0.0020963685	0.0021918628	0.3467685	0.6400375	0.008443093
a	0.0042839367	0.0069387034	0.005418358	0.03136714	0.6369165	0.3148242	0.00025117368
f	7.292789e-06	0.00011523967	0.000469828	0.00021448573	0.058604356	0.9319925	0.008596347
à	0.0095215775	0.006078138	0.004165886	0.09700567	0.51768756	0.364653	0.00088816346
o	0.00011948749	0.0015232331	0.0068638935	0.012291054	0.07902717	0.56227434	0.33790088
</S>	1.5408675e-06	6.898027e-06	7.9008365e-05	0.000212206	0.01801402	0.9272991	0.0543872
