 	l	ha	scritta	</S>
t	0.9870481	0.012838211	0.00011351236	1.2636274e-07
o	0.883641	0.107645296	0.00869632	1.7430513e-05
è	0.18349494	0.8032214	0.010882239	0.0024014614
g	0.091780126	0.8327304	0.032341868	0.04314751
r	0.0588372	0.7529489	0.18790469	0.00030918364
a	0.045137975	0.35486504	0.5999783	1.8626828e-05
t	0.0010473215	0.039484475	0.941207	0.018261248
s	0.0023376297	0.010758492	0.98689425	9.643918e-06
e	0.017583342	0.074518085	0.9078906	7.8660105e-06
</S>	0.00032938985	0.005125984	0.9748523	0.019692294
