 	vuole	pianto	</S>
i	0.9986436	0.0013541761	2.2291874e-06
t	0.98705286	0.0029795542	0.009967616
è	0.95864064	0.041288048	7.131183e-05
l	0.98409027	0.0032543743	0.012655324
i	0.9623939	0.032009993	0.0055960934
k	0.06433258	0.8577424	0.07792495
l	0.029819684	0.9699369	0.00024337792
a	0.023402983	0.9765692	2.7794762e-05
m	0.0010635932	0.9451152	0.053821206
m	0.0022547077	0.997693	5.216021e-05
è	0.025590422	0.97435147	5.8053367e-05
n	0.0015874597	0.94742256	0.05098993
o	0.24815458	0.49294797	0.25889748
</S>	0.00038753802	0.022877974	0.9767345
