 	nella	pasta	metti	sale	vuole	il	sale	</S>
s	0.98776686	0.0046567093	0.006970657	0.00040411664	0.0001018399	6.778761e-05	3.1666812e-05	4.1650452e-07
t	0.8705999	0.11734743	0.010432851	0.0010836035	0.00010507128	3.9461862e-05	0.00039093112	7.255254e-07
i	0.8077432	0.18179658	0.008480557	0.001384784	7.3837495e-05	1.6378339e-05	0.0005044112	1.833117e-07
p	0.68155026	0.22706245	0.08671909	0.004130946	7.707693e-05	0.00017033449	0.00010085549	0.00018891983
à	0.08333248	0.85978276	0.05054631	0.0033832635	0.0005664169	8.049835e-05	0.0023039926	4.286954e-06
s	0.14609154	0.67665166	0.15555352	0.011367782	0.0015605604	0.0011294683	0.00093523494	0.0067103184
t	0.008531401	0.7809831	0.19144253	0.008328464	0.0071670245	0.0014945454	0.0017290888	0.0003239169
a	0.012107833	0.59513324	0.31015965	0.058894318	0.0023009728	0.00041176932	0.02096076	3.144961e-05
v	0.0004993657	0.013980976	0.87425995	0.09549093	0.0057567344	0.0056775627	0.0032021776	0.0011322906
à	0.068815276	0.052730918	0.73645645	0.08906837	0.024528703	0.0018351859	0.026521068	4.4035452e-05
l	0.003885007	0.017975371	0.46557504	0.47245333	0.019780034	0.004753199	0.006042326	0.009535742
e	0.0008438541	0.035103716	0.66352814	0.18505426	0.10257904	0.0043138936	0.007342535	0.0012345694
à	9.015335e-05	0.0002515169	0.0485992	0.7392652	0.14537357	0.043736067	0.016829593	0.005854732
l	8.2323015e-05	0.00019253469	0.015191808	0.7484925	0.18025367	0.032498673	0.011767905	0.011520665
a	5.593925e-05	0.0007894746	0.015608307	0.16217254	0.78891355	0.009899676	0.022044664	0.00051582453
e	7.667648e-06	2.602597e-05	0.00071784976	0.01199179	0.24545182	0.7169505	0.020465255	0.0043891007
t	3.1726213e-06	2.2354347e-06	0.00042844957	0.010247361	0.10169841	0.84694266	0.03975452	0.0009232023
è	0.004461316	0.0028773672	0.006388273	0.022334253	0.59177905	0.1195727	0.25243676	0.00015024524
l	4.073948e-06	3.561878e-05	0.0017358304	0.03004031	0.15847813	0.40552044	0.37869814	0.025487473
i	5.606983e-05	0.0008889101	0.0027113808	0.0048726583	0.7394453	0.1134622	0.13769746	0.0008660129
t	1.9729657e-06	1.0840492e-05	9.2378315e-05	0.00015174558	0.0027432072	0.9123402	0.05906242	0.02559711
à	0.0058032325	0.00881614	0.0105603365	0.007166268	0.035372984	0.15015572	0.7811599	0.00096548384
l	7.129397e-07	8.475987e-06	0.00022840915	0.004827453	0.013344243	0.04496753	0.8735163	0.06310692
a	0.00011314549	0.0024118961	0.004355069	0.004390892	0.035097986	0.068599746	0.8739856	0.0110458
</S>	1.4217954e-05	8.869856e-05	0.00035359187	0.00069774204	0.00054025004	0.1756797	0.37426654	0.44835934
