 	l	ho	sentito	quando	veniva	</S>
t	0.9994917	0.00021310228	2.3211887e-05	0.0002098977	6.182326e-05	1.2520665e-07
o	0.9277492	0.0026112723	7.184325e-05	0.060583215	0.008949559	3.479424e-05
n	0.8893887	0.08033574	0.007604732	0.012495887	0.0047168494	0.005458049
ì	0.5514482	0.059528355	0.007286256	0.35981905	0.021884058	3.4127104e-05
k	0.06063133	0.3483681	0.26964766	0.066338316	0.016319733	0.23869486
u	0.38251713	0.05880132	0.0023751117	0.54653656	0.0025787852	0.007191065
s	0.0048974752	0.43840647	0.30427656	0.23792641	0.006903274	0.0075898003
a	0.016854933	0.039336722	0.051461175	0.8729136	0.019420605	1.2980876e-05
m	0.003423511	0.02340968	0.17586821	0.69423956	0.09899637	0.00406258
ò	0.00971534	0.005913109	0.0071104164	0.9367696	0.04048398	7.492251e-06
t	0.0008805774	0.0027491986	0.012220187	0.8951234	0.07093217	0.018094465
t	0.00044844937	0.0016611287	0.0038099696	0.9580282	0.032157738	0.003894563
e	0.0023432262	0.0030962965	0.0114180725	0.73599863	0.24599884	0.001144922
è	3.023143e-05	9.427185e-05	0.0026783436	0.0019864705	0.97877014	0.016440567
r	0.0001795528	0.00097196305	0.0012435445	0.054261245	0.80916595	0.13417776
k	0.0006751395	0.0017707703	0.012106767	0.05697365	0.90130365	0.027170071
a	0.006126709	0.0017176906	0.0057055545	0.09178936	0.8881851	0.006475613
t	0.0001662849	9.6963064e-05	0.0005830554	0.0006912928	0.8197708	0.17869157
o	0.016587825	0.021108098	0.027189909	0.021723462	0.91255885	0.0008318619
</S>	6.546109e-05	6.841695e-05	0.001941871	0.00019031916	0.57833	0.41940397
