 	non	ho	cosa	è	da	mangiare	</S>
e	0.9947378	0.0016577129	0.0034327812	2.3127319e-05	7.19656e-05	7.6081174e-05	4.542763e-07
n	0.97406423	0.015089939	0.008621693	0.00076497725	0.00018632378	0.00076725095	0.00050548895
è	0.007971734	0.01181099	0.97504956	0.00077299075	0.0034090995	0.0009619127	2.3755741e-05
c	0.033921238	0.3667301	0.41947886	0.036011454	0.009649359	0.008327456	0.12588167
h	0.2682179	0.11210914	0.6030853	0.0056096334	0.0011829069	0.00062314846	0.009171945
o	0.05206776	0.025671512	0.899061	0.010084203	0.005430117	0.006560211	0.0011252204
t	0.005709779	0.38275856	0.5117428	0.0781309	0.017910087	0.0012116814	0.002536304
i	0.012554519	0.036038537	0.64441663	0.06408067	0.23708346	0.0058193374	6.8063664e-06
è	0.023890197	0.048125274	0.16021928	0.26010326	0.4069023	0.09663782	0.004121747
n	0.003472116	0.008003868	0.015018198	0.12768881	0.6675538	0.08140192	0.09686127
a	0.0016547253	0.0028109357	0.010980894	0.0630962	0.877553	0.04118548	0.0027188018
f	7.308798e-05	0.00040521284	0.00013108984	0.007602358	0.12295928	0.8556725	0.013156508
à	0.0055453274	0.0060259034	0.02365651	0.009703586	0.8168535	0.13801083	0.00020439955
o	0.0007602173	0.0024881465	0.0014428385	0.009575522	0.04012151	0.7405952	0.2050166
</S>	3.4537888e-06	3.6521003e-05	3.0462015e-05	0.00082182017	0.0068928017	0.9641992	0.028015783
