 	devo	pulire	l	albero	</S>
è	0.011843568	0.9746482	0.01226529	0.0012411638	1.8183573e-06
n	0.16420107	0.71887845	0.03902463	0.0061523067	0.071743555
a	0.00940915	0.9271685	0.035718728	0.025073497	0.0026300654
k	0.16933754	0.8055758	0.020292133	0.003689841	0.0011046111
a	0.011626826	0.61207455	0.24259521	0.1335909	0.000112521055
t	0.088034205	0.8768857	0.028746132	0.0044799666	0.0018539979
à	0.0023072348	0.40444916	0.56203103	0.031154595	5.8019366e-05
r	0.07678226	0.63314116	0.19614771	0.018935475	0.07499332
o	0.0848864	0.4612745	0.34813777	0.068495214	0.037206158
t	0.08082885	0.0047329664	0.8026836	0.10020869	0.011545913
o	0.00094421324	0.002580537	0.96478635	0.031608284	8.06299e-05
n	0.019757852	0.00062552205	0.7821253	0.19492751	0.002563799
à	0.0015866202	0.0027612601	0.7992921	0.19589289	0.00046715466
r	0.08043026	0.010489061	0.24758129	0.5433258	0.11817363
b	0.039598715	0.008707754	0.2499858	0.6353735	0.06633421
u	0.0063704555	0.0019153231	0.11616364	0.87530226	0.00024838393
r	0.0045131273	6.8243375e-05	0.0037924233	0.868058	0.12356821
o	0.003999637	0.13335857	0.17708382	0.685211	0.00034700616
</S>	0.014735111	0.0004031297	0.0074846586	0.50287044	0.47450668
