 	devo	comprare	il	pane	ogni	ogni	giorno	</S>
è	0.0010161179	5.825707e-05	0.3208639	0.6456249	0.026000699	0.0057083876	0.00072531943	2.4635517e-06
n	0.004323005	0.002344011	0.807861	0.07704823	0.068113044	0.025359103	0.005843032	0.009108623
a	0.005747708	0.00054171216	0.006327619	0.041105058	0.22825082	0.20082471	0.24152206	0.27568036
v	0.0034848088	0.00032023096	0.16654491	0.20850779	0.38645932	0.18523733	0.041234	0.008211626
o	0.006773849	0.011359369	0.2828086	0.45634833	0.10986998	0.06292621	0.06950671	0.00040695336
r	0.051333975	0.001012665	0.62989765	0.19473861	0.0743321	0.029319305	0.007446397	0.011919271
à	0.0005110786	0.0012709874	0.03972135	0.88319564	0.05225966	0.013362246	0.009595678	8.3376246e-05
s	0.028762855	0.0010239856	0.7391451	0.1369939	0.039876536	0.021595176	0.005133505	0.02746895
o	0.0062192134	0.0012814784	0.27804497	0.6237277	0.02204541	0.010469967	0.015318558	0.04289277
o	0.04081907	0.5678466	0.12206679	0.14736132	0.059555143	0.024566347	0.013168091	0.024616664
t	0.0025008162	0.60882497	0.017854419	0.17234878	0.15247168	0.024947874	0.018923268	0.0021281724
s	0.0017518463	0.21167202	0.013053793	0.5689303	0.19640192	0.0058814664	0.002061722	0.00024689364
o	0.00170524	0.0059243958	0.0055009513	0.9534324	0.027897289	0.0027983796	0.00239602	0.00034529006
m	0.23993582	0.053488076	0.00349716	0.062898085	0.33618328	0.087208	0.08168396	0.13510568
ì	0.00043882884	0.0012034333	0.001255529	0.6080593	0.3733348	0.011423542	0.004018103	0.00026646108
k	0.031486828	0.0007959093	0.006147098	0.016608497	0.66289365	0.1358628	0.03318613	0.113019094
u	0.0010143121	0.00078991463	0.0065551023	0.19101796	0.72725433	0.0432157	0.011183485	0.018969245
à	0.019419763	0.00045037453	2.780494e-05	0.00056882796	0.34576562	0.34116387	0.1034437	0.18916006
i	0.07211142	0.0021635662	0.0007684134	0.00095328107	0.028574578	0.22082956	0.1614304	0.51316875
k	0.0023418493	0.00010410724	6.18178e-06	2.82118e-05	0.0187804	0.4860159	0.3933565	0.099366836
u	0.00031841814	2.7463811e-06	1.1441793e-05	0.00041347058	0.07394271	0.73408616	0.19040446	0.00082072074
à	0.005423268	0.000116317286	3.4634677e-06	4.3822125e-05	0.0025999183	0.08508053	0.6703305	0.2364022
i	0.1495044	0.006903934	0.00048759847	0.0004738228	0.013679352	0.052962296	0.22900374	0.54698485
m	0.00032716073	8.78036e-06	2.9138487e-06	1.3948577e-05	0.0009805631	0.1248398	0.80651116	0.06731571
è	0.00017224689	8.036592e-07	3.529295e-06	0.00011598105	0.0040033273	0.19165486	0.8024095	0.0016396877
r	0.035844475	0.0058718203	0.0001037444	0.00021088486	0.005185329	0.02407801	0.2165235	0.7121822
i	0.0053538186	0.0024629172	0.015898196	0.017979907	0.03201353	0.0944139	0.56247425	0.26940352
</S>	0.004439015	2.753021e-05	7.3523993e-06	1.397988e-05	8.130487e-05	0.0045904913	0.25383434	0.737006
