 	si	è	rotta	la	coppa	</S>
e	0.9913168	0.008545709	9.8598204e-05	2.1441281e-05	1.7255274e-05	1.8506645e-07
g	0.81629586	0.17776169	0.0011401359	0.001748451	0.0010204773	0.0020332923
l	0.078922324	0.17386152	0.6522422	0.004083048	0.09084545	4.551699e-05
à	0.10612575	0.4091678	0.47490644	0.0042934488	0.0054950793	1.1392298e-05
s	0.07223541	0.07617511	0.7007474	0.02296073	0.08088904	0.04699239
t	0.010390953	0.028739443	0.955358	0.0026103617	0.002766473	0.00013478412
i	0.010093688	0.020285172	0.87164277	0.01688356	0.08099959	9.526428e-05
e	0.002412875	0.0065710177	0.1103374	0.8531891	0.019371131	0.0081185475
c	0.0005535588	0.0026024277	0.0038887623	0.97538483	0.015672924	0.0018974749
ò	0.018314062	0.03165956	0.67375535	0.16316049	0.113098614	1.1917874e-05
p	0.0016278252	0.0019937695	0.046192605	0.020855721	0.9125253	0.016804755
p	0.0048527373	0.0061571645	0.32921022	0.08200796	0.57285655	0.0049153958
a	0.0011785412	0.0015788389	0.056901414	0.019932032	0.91852975	0.0018793939
</S>	0.00017779937	0.0002547785	0.0008578499	0.16499929	0.37686682	0.4568435
