 	non	mi	aspetti	non	vengo	</S>
m	0.987698	0.012182655	7.2007126e-05	7.2456846e-06	3.978751e-05	1.8541185e-07
ì	0.17638353	0.81878597	0.0018387904	0.00025673356	0.0027342688	7.159723e-07
m	0.20136438	0.7753574	0.018076643	0.0016718045	0.0012141637	0.002315561
e	0.009839854	0.9870617	0.0015216019	0.00044459666	0.00048104048	0.0006512554
m	0.020968923	0.9358732	0.03192982	0.009462731	0.0010538278	0.00071142125
ì	0.05386701	0.91553265	0.005545804	0.0010664051	0.023977887	1.0255331e-05
n	0.016798234	0.7354989	0.1408096	0.07908746	0.01882861	0.008977232
i	0.02660963	0.68443376	0.07288602	0.02259548	0.18326907	0.010206016
e	0.0016964165	0.0020038753	0.22778329	0.727109	0.03549286	0.0059145913
n	0.00020014592	0.00025809108	0.16355896	0.7919637	0.043612167	0.00040694993
è	0.01975402	0.0109446375	0.006581877	0.014862451	0.9471876	0.00066937273
r	0.0048527173	0.012406706	0.020282771	0.14729208	0.4526078	0.36255792
k	0.00556464	0.012057497	0.016798133	0.010350688	0.9357866	0.019442499
o	0.0051513244	0.06839907	0.01140463	0.0114985285	0.88092524	0.022621194
m	0.0007357946	0.0011585187	0.3445329	0.33035895	0.14339577	0.17981803
e	0.017333606	0.040620334	0.20439267	0.0049913926	0.73254347	0.00011849985
</S>	0.00059234194	0.0014637468	0.617999	0.058528077	0.08300203	0.23841473
