 	i	bambini	piccoli	a	volte	si	vestono	pure	da	soli	</S>
a	0.97367316	0.015205825	0.008000781	0.0014171541	0.0005564049	0.000620066	0.00028936737	0.0001375053	7.9076206e-05	1.7923529e-05	2.738531e-06
p	0.96753323	0.028573742	0.0015758894	0.0014823882	0.00022977628	0.0002648846	7.1917275e-05	7.084837e-05	5.937877e-05	2.702588e-05	0.00011089014
e	0.91071254	0.00071722217	0.041986726	0.0039992724	0.0037366084	0.0011732613	0.012910203	0.00931594	0.0034740781	0.011796504	0.00017756948
t	0.9465305	0.026450379	0.011114354	0.00596518	0.0032939552	0.003927986	0.0008293391	0.0004373954	0.000296244	0.000111638896	0.0010429401
à	0.9480861	0.0033075598	0.035169713	0.0036467435	0.0011920577	0.0006609142	0.0022742024	0.00186839	0.0012193342	0.0025175095	5.7600977e-05
c	0.35730812	0.42201874	0.0198155	0.05383547	0.0077859527	0.025864892	0.007929168	0.0078463005	0.008100068	0.004318371	0.08517739
i	0.9525672	0.01677037	0.018190173	0.0014041953	0.0005515415	0.0007853439	0.0005558853	0.00039259144	0.0001774163	0.00011080796	0.008494411
a	0.39277878	0.08960996	0.17235288	0.050448656	0.03308587	0.122172296	0.042775255	0.020291934	0.010545136	0.0050262134	0.060912937
k	0.008093036	0.2743059	0.59450555	0.08255872	0.01884564	0.015184836	0.0027022075	0.0015327922	0.00084939384	0.00019902951	0.001222853
è	0.02567785	0.001853876	0.8147974	0.051079214	0.014451631	0.0013822846	0.023236644	0.016304644	0.005170481	0.045891684	0.00015437543
c	0.077444	0.04348465	0.5587578	0.19371739	0.015199506	0.043337062	0.020791009	0.009712508	0.006966663	0.0041545746	0.026434828
c	0.059579547	0.02875113	0.8618412	0.036644444	0.0046911365	0.0026099253	0.001945253	0.000887367	0.0003027171	0.00013595112	0.002611266
i	0.30104253	0.0023269805	0.603555	0.061658613	0.015918264	0.00339928	0.0052664946	0.0029467398	0.00082999613	0.0012646653	0.0017914893
a	0.00079034816	0.0055463454	0.23274939	0.33332705	0.24347363	0.052722827	0.08373099	0.018396875	0.00489799	0.021799814	0.0025647397
f	3.7930666e-05	0.008714093	0.026754083	0.42936632	0.4596598	0.051325798	0.013741267	0.0052102674	0.0015389848	0.0015269181	0.0021245892
