 	stava	ancora	cucinando	</S>
ì	0.9962447	0.0034693703	0.00028261312	3.1758507e-06
s	0.973613	0.0020788233	0.00097324303	0.023334917
t	0.94494283	0.03789849	0.015419377	0.0017392626
i	0.9024055	0.09116015	0.006378772	5.557782e-05
g	0.7510264	0.21069665	0.020808632	0.017468244
g	0.13689034	0.83570325	0.027146492	0.00025983053
h	0.9015382	0.096362546	0.0020869325	1.2347662e-05
e	0.74799365	0.24000242	0.011885417	0.00011849156
a	0.047588486	0.79473114	0.13704818	0.020632176
n	0.00062889105	0.83651346	0.1390489	0.023808718
k	0.020036299	0.9762986	0.0035304702	0.00013463515
ò	0.1386466	0.8536757	0.007445359	0.00023229445
r	0.05865743	0.12583192	0.11851941	0.6969912
a	0.043733772	0.85695684	0.08360435	0.01570501
m	0.00088874355	0.033251215	0.8478801	0.11797988
a	0.039175134	0.841661	0.11890594	0.0002579762
r	0.00017527204	0.009400203	0.84712476	0.14329976
è	0.28714147	0.62666166	0.08468658	0.0015103942
o	0.00035087197	0.121499024	0.78775626	0.09039386
n	0.0015001502	0.0026603518	0.9182623	0.07757727
t	0.5728964	0.3766449	0.041589666	0.0088690305
a	0.2981557	0.4625013	0.23436591	0.0049770894
</S>	0.0019781005	0.00262063	0.22081654	0.7745848
