 	la	casa	la	costruiscono	i	muratori	</S>
t	0.93908083	0.059759248	0.0010454152	3.7453105e-05	5.140323e-05	2.5481266e-05	6.771072e-08
o	0.41171926	0.5740389	0.007561851	0.0018657638	0.0020490312	0.0027259605	3.919891e-05
s	0.49547595	0.47672138	0.015907587	0.002661672	0.004879276	0.00071292685	0.0036411942
p	0.069045775	0.9224664	0.006031921	0.00086015754	0.00044487434	0.001139516	1.1325798e-05
ì	0.20274591	0.7940125	0.0017436917	0.00085728074	0.00027889767	0.00036019986	1.5146674e-06
t	0.10645378	0.81625146	0.025792954	0.0058662924	0.001243985	0.0011344266	0.043257184
i	0.07008169	0.7324343	0.18322335	0.0037300694	0.0074353856	0.0024090144	0.0006861197
t	0.004689123	0.17575075	0.786789	0.019790325	0.0052704713	0.0023664522	0.0053438563
o	0.03984288	0.24653102	0.63061464	0.061387733	0.006007338	0.015526402	9.0032416e-05
f	0.000649948	0.0098656835	0.9473365	0.03120981	0.0073339664	0.0014673116	0.0021368244
a	0.045990296	0.13457206	0.33647236	0.39624664	0.016378855	0.070065595	0.00027417912
b	0.00050580525	0.0023681726	0.85540485	0.10888931	0.022150133	0.006691003	0.003990788
b	0.011298875	0.032995425	0.21781385	0.72163653	0.004905759	0.011292271	5.7331432e-05
r	0.02931485	0.06557794	0.39818206	0.5016849	0.0040279115	0.0012109553	1.405548e-06
i	0.06313312	0.050006226	0.526228	0.30226547	0.03934834	0.018414957	0.0006038368
k	0.00019043456	0.00058612344	0.08524086	0.7899593	0.023937166	0.09020624	0.009879766
è	0.00025240818	0.0029726645	0.015784668	0.9472713	0.020728027	0.012598589	0.00039239472
o	0.003850562	0.009748233	0.49808836	0.21079981	0.17869064	0.03082681	0.0679955
n	2.4439638e-05	5.788005e-05	0.009187509	0.2674243	0.6673775	0.039614655	0.016313687
e	0.022824073	0.030624643	0.005387686	0.38211048	0.44228896	0.11599558	0.00076856604
i	3.800135e-05	4.74503e-05	0.0006161147	0.0076353317	0.7017913	0.2836767	0.00619512
f	1.0276294e-05	1.5966329e-05	0.0003088518	0.011130329	0.8622933	0.120675795	0.005565451
a	0.027849788	0.04717198	0.003386705	0.09263771	0.46894133	0.35775545	0.0022570584
b	1.0981772e-05	1.547367e-05	0.00012973082	0.0011411691	0.22895314	0.76370066	0.006048763
b	0.0010332774	0.0055681495	0.003656529	0.19564544	0.31865358	0.47517207	0.00027100072
r	0.0003667912	0.0007610389	0.015654087	0.076024614	0.16239555	0.74476814	2.9865063e-05
i	0.00030724518	0.00038536664	0.017348051	0.029444668	0.25621513	0.69480646	0.0014930501
k	8.885566e-06	2.3333092e-05	5.7234953e-05	0.0021696973	0.017538834	0.95502335	0.025178663
a	3.4559514e-05	0.00012455108	5.0124887e-05	0.00046972415	0.0070779976	0.9919516	0.00029152044
t	1.097759e-05	2.2463051e-05	6.472503e-05	0.00053771713	0.018209022	0.9284989	0.052656196
ò	0.00024311416	0.0015136438	0.0006939337	0.0025787537	0.018845769	0.9689792	0.007145479
r	7.109878e-05	0.0002170004	0.021428175	0.013596868	0.37357754	0.29355285	0.29755643
i	0.0056548975	0.0111511	0.028406302	0.0154076945	0.053647976	0.43733475	0.44839722
</S>	0.00033915747	0.0021684696	0.0019233574	0.0006958469	0.025079843	0.41461322	0.5551801
