 	non	ho	cosa	a	fare	</S>
e	0.99026054	0.0037771536	0.0055288444	0.00041925328	8.936396e-06	5.2437404e-06
n	0.9739842	0.014893133	0.008695256	0.0008081984	0.0013126346	0.0003066398
è	0.013393372	0.035224166	0.9399567	0.011379128	2.5412772e-05	2.1146432e-05
c	0.02033257	0.27048838	0.57450885	0.07849374	0.0061947885	0.049981758
h	0.29846513	0.12584972	0.56757194	0.0024131136	7.976287e-05	0.0056203906
o	0.043960296	0.037848208	0.8994169	0.018349655	0.00014752355	0.00027741876
t	0.0021814564	0.1201562	0.61507785	0.2515744	0.007960761	0.003049341
i	0.008563008	0.026117457	0.25606743	0.7090844	0.00016338665	4.2772594e-06
k	0.006890387	0.0063490625	0.02444194	0.44630146	0.41925943	0.09675775
à	0.0076569654	0.0139397085	0.026737772	0.94906026	0.0025614253	4.3852946e-05
i	0.0047077676	0.012348917	0.02694439	0.07154642	0.09708772	0.7873648
</S>	0.00024091691	0.0024943582	0.00675141	0.09787975	0.7549786	0.13765503
