 	deve	che	entra	da	qui	</S>
è	0.98302025	0.014730432	0.002153644	3.6950154e-05	5.838477e-05	4.692547e-07
n	0.6914684	0.19815361	0.04613569	0.0072287596	0.005156096	0.05185739
g	0.23516984	0.58127934	0.16025998	0.010808016	0.012040356	0.00044245
h	0.11956404	0.59352106	0.26458856	0.0053330287	0.016980005	1.3318667e-05
i	0.08614802	0.41800237	0.4188931	0.0379618	0.038963497	3.112177e-05
s	0.010035028	0.5829115	0.25931388	0.09963718	0.042731263	0.005371154
e	0.0047612325	0.0880485	0.85802287	0.04314358	0.0060220803	1.7252995e-06
n	0.007268222	0.12932014	0.242774	0.50335276	0.10798169	0.00930319
a	0.012257114	0.06654909	0.6831845	0.1901812	0.04782083	7.2229536e-06
m	0.0023255942	0.015603751	0.031799804	0.57754153	0.3594247	0.01330469
b	0.0062302495	0.07110654	0.54639125	0.25888678	0.1173747	1.0549753e-05
i	0.02353461	0.06753214	0.11460686	0.59576195	0.1985605	4.009672e-06
a	0.0014841678	0.012599352	0.021277988	0.29508886	0.63809806	0.031451553
p	3.3585504e-05	0.00053309416	0.0018768137	0.056645416	0.9236169	0.017294215
ò	0.00020807312	0.00072709064	0.0016729361	0.012553508	0.98458385	0.00025454612
t	0.00063929975	0.0014690685	0.0005290896	0.017389575	0.86041594	0.11955699
t	0.0003469591	0.00063810404	0.0018472149	0.017972652	0.9560017	0.023193287
ù	0.007613877	0.0106191095	0.018538026	0.07086428	0.8905142	0.0018505049
</S>	0.00033154682	0.0017105708	0.0018744709	0.084169574	0.4958881	0.4160257
