 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.00010340944	4.8008013e-05	0.22629444	0.7505626	0.022190025	0.00079533923	6.1559176e-06
c	0.0012390733	0.0005990668	0.90393263	0.050649673	0.02930534	0.0066045164	0.007669711
h	1.9385117e-05	6.215525e-05	0.64028305	0.29879242	0.041369893	0.016442394	0.0030307628
a	0.0025687206	0.037978914	0.48609114	0.18887538	0.1319355	0.1389786	0.013571758
n	0.0005744649	0.0007666749	0.58457726	0.18822633	0.19138932	0.025661407	0.008804615
a	0.03749714	0.007457805	0.15995964	0.10628187	0.28696817	0.38501462	0.016820708
v	0.0024626697	0.0008093217	0.47851756	0.2279922	0.24374077	0.03476833	0.0117091015
o	0.012988745	0.0144500295	0.4418284	0.34155923	0.09816475	0.090353265	0.00065563945
r	0.0038008844	0.0016013419	0.77194804	0.11902059	0.06746286	0.014734526	0.02143174
à	0.0006925812	0.0023222724	0.06980172	0.8263298	0.07359991	0.027162688	9.099628e-05
s	0.0102889305	0.00027635557	0.8405052	0.07780214	0.026646312	0.0071849306	0.03729613
o	0.0011685748	0.00045351224	0.48145074	0.4147607	0.019386873	0.032500945	0.05027862
o	0.39580652	0.2099354	0.15739697	0.15772079	0.028748548	0.019849839	0.030541895
t	0.18661658	0.41256392	0.04389568	0.3088603	0.028563121	0.01677798	0.0027224806
s	0.034376428	0.14927997	0.025615871	0.7630706	0.025925832	0.0015418999	0.00018943322
o	0.0018460351	0.0015787386	0.014178367	0.97553056	0.0052580624	0.0013782694	0.00022989938
m	0.17889574	0.03283436	0.009611775	0.23482113	0.16499788	0.14748628	0.2313528
ì	0.0005493131	0.0007949645	0.0055732774	0.94757825	0.042504095	0.0028096237	0.00019042664
k	0.0017326566	0.0010446641	0.010779045	0.048588056	0.6437521	0.08993755	0.20416592
u	0.00012647618	0.0021373206	0.017522588	0.6849942	0.23827477	0.026570989	0.030373637
à	0.0015646721	0.00043014533	2.1843833e-05	0.0014982524	0.63520974	0.18896908	0.17230625
i	0.0013266512	0.0008714837	0.0003936757	0.0011089137	0.1250334	0.33053416	0.5407317
m	0.0020073226	9.288331e-05	8.085414e-06	0.00010872672	0.14340217	0.73818034	0.11620047
è	5.5800563e-05	3.7970874e-06	5.850222e-06	0.00067748857	0.7116883	0.2867003	0.00086852565
r	0.0009066411	0.0015241543	0.00014573855	0.00051234086	0.013073598	0.4996609	0.48417664
i	0.004871705	0.00094017794	0.0062015187	0.022174725	0.12991306	0.63071793	0.2051809
</S>	0.00083412795	4.8504953e-06	1.4033266e-06	3.4347042e-06	0.0005970116	0.508761	0.4897982
